EG20230404a1,EG20230404a2,EG20230404a3,EG20230404a4,EG20230404a5,EG20230404a6,EG20230404a7,EG20230404a8,EG20230410b1,EG20230410b2,EG20230410b3,EG20230410b4,EG20230410c1,EG20230410c2,EG20230410c3,EG20230410c4,EG20230410c5,EG20230410c6,EG20230410c8,EG20230410c9,EG20230410c10,EG20230410c11,EG20230410c12,EG20230410c13
1.5784,0.88319999,7.2389002,1.8091,1.2766,0.54479998,1.9761,1.2136,0.96579999,0.81470001,10.5558,13.1912,1.0099,1.3433,1.2847,11.036,11.4827,1.9289,4.8552999,3.3109,1.783,1.6299,8.0403004,0.55760002
1.6842,0.9077,7.5086002,1.9046,1.3415,0.57980001,,1.2571,1.0048,0.84810001,10.9077,13.2607,1.0594,1.4024,1.3408999,11.4938,11.8795,2.0072999,5.1518998,3.3766,1.8246,1.6713001,8.3408003,0.58340001
1.7348,0.93489999,7.6356001,1.9953001,1.3941,0.59899998,,1.2825,1.0352,0.88169998,11.3425,13.823,1.1062,1.4557,1.4028,11.9925,12.4191,2.0572,5.4040999,3.4114001,1.8875,1.7565,8.4997997,0.60320002
1.7916,0.95880002,8.0061998,3.4544001,1.4446,0.61559999,,1.3071001,1.0625,0.917,11.6983,13.873,1.1548001,1.506,1.4636,12.5109,12.9015,2.1084001,5.5033998,3.4625001,1.9293,1.8474,8.6971998,0.62169999
1.8575,0.99599999,8.3427,3.6952,1.4825,0.64029998,,1.3398,1.0928,0.95469999,12.1109,14.0452,1.1976,1.559,1.528,12.9448,13.398,2.1605,5.6037002,3.5111001,3.1045001,1.9808,8.79,0.64179999
1.911,1.0252,8.5530996,4.0556002,1.5127,0.66799998,,1.3873,1.1178,0.99169999,12.1964,14.5396,1.2533,1.6162,1.5888,13.3668,13.8089,2.2090001,5.6993999,3.5595,3.3492999,2.0188999,9.0440998,0.6656
1.964,1.0518,8.6787004,4.1553001,1.5589,0.6954,,1.4198999,1.1579,1.0246,12.4756,14.9283,1.3138,1.6770999,1.6393,13.7222,14.3222,2.2581,5.8365002,3.6449001,3.7883,2.102,9.1917,0.69059998
3.5968001,1.0807,8.8437996,4.2948999,1.585,0.71079999,,1.4957,1.1885999,1.0566,12.6815,,1.3512,1.7365,1.6949,14.1746,14.8572,2.3299,5.994,3.6654999,3.8961999,2.1654,9.493,0.71069998
3.7521,1.1226,8.9496002,4.4398999,1.6436,0.73650002,,1.5673,1.2122,1.0943,12.7511,,1.3911999,1.8065,1.7529,14.6227,,2.3636,6.0921001,3.7109001,3.9990001,2.2657001,10.9979,0.73250002
3.8768001,1.1616,9.0789003,4.5976,1.6887,0.75749999,,1.6039,1.2507,1.1275001,12.953,,1.4402,1.8559,1.8211,,,2.4096,6.2522001,3.7604001,4.0955,2.3290999,11.1621,0.75559998
3.9770999,1.2084,9.2452002,4.7410998,1.7327,0.78539997,,1.6926,1.2998,1.156,13.3179,,1.4730999,1.9153,1.8760999,,,2.4584999,6.3540001,3.8120999,4.1985002,2.4161,11.3999,0.78079998
4.0763998,1.2654001,9.4028997,4.8417001,1.8068,0.80489999,,1.7183,1.3617001,1.1897,13.6164,,1.5177,1.9792,1.9382,,,2.5113001,6.4972,3.8691001,4.2877998,2.4683001,11.5482,0.8096
4.1585999,1.2865,9.4846001,4.9952002,1.849,0.82489997,,1.7525001,1.4164,1.2237,13.7955,,1.5771,2.0848,2.0388999,,,2.5597,6.5528002,3.9108,4.3422999,2.5172999,11.88,0.83029997
4.2364001,1.3271,9.6375999,5.2419,1.8943,0.85299999,,1.7891999,1.4529001,1.2563,13.9266,,1.6226,2.1364,2.2551999,,,2.6097,6.6472998,3.9619,4.4046001,2.5890999,12.0134,0.86369997
4.3322001,1.3692,9.802,5.3530998,1.9525,0.86879998,,1.8463,1.4929,1.2889,14.225,,1.6867,2.2202001,6.7193999,,,2.6585,6.8519001,4.0142999,4.4924002,2.6264,12.0867,0.8872
4.4064999,1.3990999,9.9347,5.4997001,2.2804,0.89270002,,1.8673,1.5398,1.3227,14.5167,,1.7368,2.2941999,7.4636998,,,2.7427001,6.9920998,4.0636001,4.5539999,2.7579,12.2473,0.91299999
4.4963999,1.4276,10.1237,5.5908999,3.0998001,0.91229999,,1.8981,1.5786999,1.3588001,14.6568,,1.7811,2.3743999,7.6048002,,,2.7846999,7.2066002,4.1129999,4.6401,2.8190999,12.46,0.93599999
4.6075001,1.4579,10.2678,5.6960001,3.1589,0.93400002,,1.9205,1.6262,1.3911999,14.9399,,1.8239,2.4470999,8.0077,,,2.898,7.3397999,4.1602001,4.7294002,2.8629999,12.5406,0.96149999
