20220912a,20220912b,20220912c,20220912d,20220912e,20220912f,20221010a_1,20221010a_2,20221010b,20221010c_1,20221010c_2,20221010d,20221104a,20221104b,20221104c,20221104e,20221104f,20221104g,20191216a,20191216b,20191216c,20191216d,20191216e,20191216f,20191216g,20191216i,20191216j,20191216k,20191216m,20191216n,20191218b,20191218c,20191218e,20191220b,20191220c,20191220d,20191220e,20191220f,20191220g
0.63590002,0.48730001,0.4772,12.1498,0.7421,0.71749997,1.434,1.4716001,2.4612999,2.8966999,0.79360002,0.4095,0.61140001,0.86769998,1.7481,6.2614999,0.89450002,0.4513,0.86260003,0.4237,0.5909,0.847,1.0865999,0.76349998,0.1098,1.2743,3.9054999,0.52969998,3.9913001,1.1327,0.43669999,0.31169999,0.66710001,0.48899999,0.67150003,0.68839997,13.4425,0.51419997,1.0626
0.6652,0.51139998,0.51679999,12.1739,0.80000001,0.76139998,1.5589,1.5838,2.5610001,3.0099001,0.87110001,0.4368,0.65869999,0.90079999,1.869,6.7642999,0.9562,0.48249999,0.91210002,0.45570001,0.63499999,0.9052,1.1775,0.84869999,0.1184,1.3710001,4.5081,0.58069998,4.3955998,1.2104,0.46740001,0.34079999,0.71130002,0.51289999,0.71960002,0.73329997,13.7103,0.55180001,1.15
0.70700002,0.53079998,0.55400002,12.2646,0.85360003,0.8114,1.6446,1.7138,2.8195,3.1956999,0.9077,0.463,0.7062,1.001,1.944,7.3085999,1.0549999,0.51340002,0.97409999,0.48429999,0.68510002,0.96030003,1.2524,0.90890002,0.12630001,1.4559,5.3903999,0.61790001,4.8298001,1.2704,0.49649999,0.36770001,0.77090001,0.5492,0.77179998,0.77469999,13.9509,0.59979999,1.2343
0.72960001,0.5571,0.59619999,12.3589,0.91289997,0.86360002,1.7293,1.8794,3.0123999,3.2825,0.95230001,0.4892,0.75120002,1.0494,1.9974999,7.7266002,1.1353,0.54570001,1.0216,0.51639998,0.72909999,1.0206,1.313,0.97399998,0.1347,1.5371,5.3913002,0.6609,5.5372,1.3344001,0.52539998,0.3919,0.83249998,0.57920003,0.81629997,0.8193,14.2094,0.62669998,1.3087
0.77179998,0.59170002,0.6275,12.4507,0.98830003,0.92830002,1.8319,1.9784,3.2227001,3.3980999,1.0173,0.51730001,0.79449999,1.131,3.1036,7.7824998,1.1876,0.5776,1.0896,0.54900002,0.77069998,1.0811,1.3853,1.0308,0.14300001,1.6389,6.3841,0.69590002,6.0732999,1.3866,0.55610001,0.4149,0.8768,0.60540003,0.86769998,0.86839998,14.4831,0.65420002,1.3968
0.89539999,0.6232,0.65780002,12.5592,1.0326999,0.97579998,1.9644001,2.1668999,3.3550999,3.5058999,1.0912,0.54089999,0.84850001,1.1833,4.2189999,7.9741998,1.25,0.60860002,1.178,0.58289999,0.8096,1.1478,1.4571,1.0923001,0.1507,1.7344,6.3849001,0.77160001,6.4965,1.4713,0.5855,0.4382,0.95029998,0.63209999,0.91769999,0.9188,14.764,0.69199997,1.4780999
0.95340002,0.66780001,0.66839999,12.6375,1.0812,1.0298001,2.0998001,2.2965,3.618,3.7969999,1.1409,0.5474,0.9465,1.2725,5.2852001,8.1865997,1.3103,0.6419,1.2328,0.61320001,0.85659999,1.2021,1.5273,1.1482,0.1594,1.8674001,7.6792998,0.8075,6.9305,1.526,0.61489999,0.46169999,1.0077,0.66049999,0.96670002,0.97979999,,0.73689997,1.5639
0.99489999,0.69529998,0.70459998,12.7261,1.1301,1.0968,2.1875,2.3852999,3.846,3.9914,1.2113,0.57859999,1.0023,1.3483,5.3399,8.4073,1.3736,0.67379999,1.3056999,0.64209998,0.90689999,1.2463,1.6023999,1.2047,0.1691,1.9801,12.1685,0.84369999,7.2041001,1.5953,0.64529997,0.4849,1.0791,0.69090003,1.0125,1.034,,0.77700001,1.6512001
1.0465,0.72920001,0.73540002,12.8389,1.1754,1.1583,2.2591,2.5069001,3.9535999,4.0967002,1.2498,0.61159998,1.0412,1.404,5.5078001,8.5923004,1.4421999,0.71100003,1.3661,0.67309999,0.95450002,1.293,1.6811,1.2747999,0.17900001,2.2943001,12.1692,0.88559997,7.4643998,1.6711,0.67439997,0.51029998,1.1454999,0.7216,1.0688,1.0861,,0.80449998,1.7311
1.0807,0.7604,0.77270001,12.9769,1.2227,1.2447,2.3362,2.7635,4.1929998,4.2919002,1.3095,0.61979997,1.0903,1.4478,6.4878001,8.8633003,1.4978,0.74680001,1.4244,0.70730001,0.99879998,1.349,1.7614,1.3408,0.1877,2.4870999,12.6181,0.93120003,7.7501001,1.7395999,0.70289999,0.53219998,1.2067,0.75749999,1.11,1.1357,,0.85189998,1.8119
