20220912a,20220912b,20220912c,20220912d,20220912e,20220912f,20221010a_1,20221010a_2,20221010b,20221010c_1,20221010c_2,20221010d,20221104a,20221104b,20221104c,20221104e,20221104f,20221104g,20191216a,20191216b,20191216c,20191216d,20191216e,20191216f,20191216g,20191216i,20191216j,20191216k,20191216m,20191216n,20191218b,20191218c,20191218e,20191220b,20191220c,20191220d,20191220e,20191220f,20191220g
3.1708,1.7369,1.9154,,8.1865997,6.2065001,7.6859002,7.3102999,10.1246,8.0764999,4.1643,1.6741,12.5525,10.5016,14.8562,,10.1983,1.8864,5.4927001,1.7629,2.8045001,7.5064998,4.4534998,3.9925001,0.47580001,10.7969,,2.707,13.9296,4.9597998,1.7772,1.3309,5.1708999,1.6449,3.4691999,3.566,,5.5036001,4.7722001
3.2032001,1.7632999,1.9678,,8.2839003,6.2957001,7.7564001,7.3747001,10.2693,8.1673002,4.2715001,1.6746,12.5828,10.6964,14.9311,,10.5879,1.9223,5.5567999,1.7952,2.8689001,7.6991,4.5186,4.0749002,0.4842,10.8702,,2.7648001,13.9789,5.066,1.8087,1.3621,5.2827001,1.678,3.5588,3.6602001,,5.5967999,4.8710999
3.9493999,1.7893,2.0063,,8.4565001,6.4842,7.8284001,7.5107999,10.487,8.2404003,4.3053999,1.7093,12.6145,10.8056,,,10.7897,1.9561,5.6601,1.826,2.9038999,7.8807001,4.5890002,4.1609998,0.49250001,11.055,,2.7953999,14.1533,5.1535001,1.8419,1.3915,5.3797002,1.7269,3.5994,3.7063,,5.8762999,4.9723001
3.9624,1.8207,3.737,,8.4988003,6.5344,7.8969002,7.6570001,10.7551,8.3414001,4.3882999,1.7460001,12.6579,11.0776,,,10.9054,1.9898,5.7305002,1.8551,2.9670999,7.9779,4.6606998,4.2407999,0.50050002,11.0979,,2.8566999,14.3247,5.204,1.8733,1.4166,5.4742999,1.7815,3.6793001,3.7921,,5.8986001,5.0569
3.9791999,1.8458,3.8848,,8.7952003,6.579,7.9917998,7.7097001,10.9054,8.4570999,4.4689999,1.7758,12.6935,11.2956,,,11.1016,2.0741,5.8467999,1.8844,3.0053,8.1039,4.7448001,4.2765999,0.509,11.1981,,2.9031,14.4175,5.2926998,1.9057,1.4467,5.5826998,1.8275,3.7729001,3.8771,,6.0998998,5.1634998
4.0018001,1.8798,3.9533999,,9.0907001,6.6848998,8.0745001,7.7982001,11.0164,8.5710001,4.5671,1.809,12.7247,11.4794,,,11.1954,2.1677001,5.9134002,1.9191999,3.0615001,8.2037001,4.8167,4.3555999,0.5176,11.2805,,2.9552,14.5846,5.3785,1.9382,1.47,5.6805,1.8732001,3.8538001,3.9749,,6.1968002,5.2695999
4.0467,1.9123,5.0523,,9.1859999,6.7853999,8.1688995,7.9632001,11.2185,8.6711998,4.6026001,1.8386,12.7766,11.6702,,,11.3801,2.2755001,5.9998002,1.946,3.0952001,8.3839998,4.9071002,4.3958998,0.52649999,11.3758,,2.9974999,14.6763,5.4720001,1.9693,1.494,5.7844,1.9101,3.8989,4.0834999,,6.3801999,5.3562999
4.0637999,1.9412,5.2076998,,9.3028002,6.8987002,8.2761002,8.0747995,11.3421,8.7951002,4.6841002,1.8664,12.8092,11.7846,,,11.4898,2.3657999,6.0890999,1.9727,3.1489,8.5909996,4.9812002,4.4864001,0.53439999,11.4652,,3.0625999,14.824,5.5725999,1.9996001,1.5123,5.888,1.9405,3.9855001,4.1815,,6.6023002,5.4628
4.0841999,1.9701999,5.5780001,,9.3998003,6.9854999,8.4595003,8.1862001,11.4894,8.8848,4.7902002,1.8961999,12.8493,11.9971,,,11.5908,2.471,6.1651001,2.0641,3.1824999,8.7872,5.0496998,4.5650001,0.54229999,11.5702,,3.1112001,14.9247,5.6838002,2.0350001,1.54,5.9952002,1.9893,4.0703001,4.2716999,,6.7045002,5.5702
4.2618999,1.999,5.6993999,,9.5018997,7.1075001,8.5116997,8.3529997,11.6418,8.9632998,4.8649998,1.929,12.8833,12.1105,,,11.6914,2.5639,6.2379999,2.089,3.2486999,9.0949001,5.1237001,4.5957999,0.55049998,11.6846,,3.1537001,,5.7525001,2.0666001,1.5684,6.0829,2.2909999,4.1704998,4.3870001,,6.9772,5.6643
4.3518,2.0848999,5.8049002,,9.6862001,7.2091999,8.6536999,8.5670004,11.8825,9.0677004,4.9631,1.9564,12.931,12.1865,,,11.7975,2.5999,6.3288002,2.1673,3.2771001,9.3022003,5.1996999,4.6717,0.56,11.8385,,3.1923001,,5.8593001,2.0994,1.5904,6.1798,2.3031001,4.2420998,4.4713001,,6.9986,5.7729001
4.3885999,2.2033,5.9773998,,9.7814999,7.3947001,8.7621002,8.7207003,12.0308,9.1752005,4.9984999,1.9845001,12.9587,12.2932,,,11.8988,2.6808,6.4015999,2.1946001,3.3459001,9.3992996,5.2634001,4.7670999,0.56800002,11.9684,,3.2516,,5.9572001,2.1329,1.6183,6.2852998,2.3958001,4.2923999,4.5756001,,7.1928,5.8758001
4.4475002,2.3057001,6.0910001,,9.9027004,7.4802999,8.8388996,8.8542004,12.2453,9.2641001,5.0661001,2.0418,13.0055,12.3575,,,12.0021,2.7702,6.4752998,2.27,3.3745999,9.5840998,5.3491998,4.8738999,0.5765,12.0347,,3.2827001,,6.0461998,2.1633999,1.6399,6.5033002,2.4937999,4.3720999,4.6760001,,7.2797999,5.974
4.4700999,2.3768001,6.1914001,,10.0967,7.6985002,8.8956003,8.9120998,12.4209,9.3604002,5.145,2.0737,13.0527,12.4462,,,12.0371,2.8611,6.5688,2.3696001,3.4482,9.7938004,5.4320002,4.9647002,0.58450001,12.1562,,3.358,,6.1595998,2.194,1.6646,6.5924001,2.5864,4.4633999,4.7743001,,7.3940001,6.0723
4.4997001,2.4712,6.4976001,,10.1936,7.7860999,8.9854002,8.9651003,12.57,9.4097996,5.263,2.1024001,13.0895,12.5075,,,12.111,2.9869001,6.6559,2.4695001,3.4911001,10.0035,5.5053,5.0025001,0.59240001,12.2215,,3.3822999,,6.2740998,2.2335,1.6796,6.7926998,2.6026001,4.5805001,4.8817,,7.5640001,6.1539001
4.5935001,2.4988,6.691,,10.4796,7.8952999,9.0832996,9.0950003,12.7571,9.5101995,5.3044,2.1413,13.1269,12.5859,,,12.1559,3.0750999,6.7296,2.4956999,3.5555999,10.1782,5.5949998,5.0797,0.6006,12.3248,,3.4597001,,6.3607001,2.2642,1.7026,6.8917999,2.8831999,4.6705999,4.9798999,,7.6058998,6.2659001
4.6426001,2.5711999,6.8894,,10.5929,7.9966002,9.1452999,9.1964998,12.9363,9.6078997,5.3888998,2.1710999,13.1582,12.659,,,12.2488,3.1652,6.8346,2.5662,3.5989001,10.2861,5.6623001,5.1617999,0.60949999,12.4006,,3.4856999,,6.4534001,2.2931001,1.7307,6.9823999,2.8968,4.7663999,5.0798998,,7.6971998,6.3698001
4.6715002,2.6064999,6.9874001,,10.6987,8.1963997,9.2386999,9.3481998,13.1557,9.6929998,5.4686999,2.1975,13.1861,12.7513,,,12.2804,3.2063999,6.9098001,2.5931001,3.6602001,10.3981,5.7231998,5.1957002,0.61769998,12.4587,,3.5518,,6.5601001,2.3332,1.7502,7.0876002,3.0023,4.8554001,5.1711998,,7.9568,6.4460001
4.6939998,2.668,7.1037002,,10.7768,8.3032999,9.3142996,9.4716997,13.2688,9.7911997,5.4749999,2.2502999,13.2313,12.8436,,,12.3579,3.2867999,6.9608002,2.6631999,3.6991,10.6912,5.7922001,5.2737999,0.62559998,12.5699,,3.6719,,6.6571999,2.3629,1.7687,7.1817999,3.105,4.9755001,5.2789001,,8.0016003,6.4604001
4.7652998,2.7618999,7.2021999,,10.8916,8.4057999,9.5745001,9.5902004,13.4857,9.8806,5.5676999,2.2834001,13.271,12.9267,,,12.3991,3.3910999,7.0472999,2.6884,3.7593999,10.8046,5.8555999,5.3572998,0.63459998,12.6613,,3.7923,,6.7073998,2.3924,1.8013,7.2884998,3.1933,5.0063,5.3927999,,8.1023998,6.4642
4.8519001,2.7945001,7.2336001,,10.9929,8.5079002,9.6731005,9.7403002,13.6249,9.9461002,5.6538,2.3369,13.3069,12.9802,,,12.4741,3.4681001,7.1301999,2.7605,3.7964001,10.9978,5.9361,5.3909001,0.64289999,12.7543,,3.8959,,6.7688999,2.4281001,1.8234,7.3635998,3.29,5.0707998,5.4826999,,8.2686005,6.4830999
4.8713002,2.8908,7.3814998,,11.0811,8.5917997,9.8031998,9.8940001,13.7893,10.0346,5.7754002,2.3682001,13.3568,13.0848,,,12.5771,3.5601001,7.2358999,2.7908001,3.8570001,11.3027,6.0053,5.4773002,0.6512,12.8146,,3.9679999,,6.8597002,2.4583001,1.8486,7.4794998,3.3972001,5.1630998,5.5841999,,8.2940998,6.5065999
4.8979998,2.9971001,7.3982,,11.1649,8.6970997,9.9644003,10.0375,13.8936,10.1059,5.8611999,2.3951001,13.3912,13.154,,,12.6315,3.6062,7.2796001,2.8552001,3.8954,11.5026,6.0773001,5.5587001,0.65990001,12.8975,,4.0489998,,6.9572001,2.4914999,1.8741,7.5875001,3.4674001,5.2722998,5.6743999,,8.4926996,6.5338998
4.9802999,3.1861999,7.4958,,11.281,8.7945004,10.0891,10.1944,14.0745,10.1961,5.9468999,2.4366,13.4287,13.2047,,,12.6816,3.6819,7.3464999,2.8885,3.9593999,11.6984,6.1480999,5.6398001,0.66820002,12.9991,,4.0942998,,7.0103002,2.5357001,1.9014,7.6963,3.4902,5.3537002,5.7740998,,8.6030998,6.5551
5.0331001,3.2895999,7.5363002,,11.3991,8.8901997,10.2568,10.3492,14.1897,10.2929,5.9871001,2.4626999,13.463,13.275,,,12.711,3.7651999,7.4503002,2.9575,3.9976001,11.804,6.2238002,5.6701002,0.67610002,13.0572,,4.1684999,,7.0805998,2.5683,1.9251,7.7933998,3.5878999,5.3934002,5.8811002,,8.6878996,6.5636001
5.0837002,3.359,7.5653,,11.4833,8.9761,10.3145,10.4365,14.4233,10.3864,6.0503998,2.4881999,13.4926,13.3639,,,12.7984,3.8664,7.5239,2.9823999,4.0573001,11.9856,6.2835002,5.7016001,0.68550003,13.1401,,4.2567,,7.1571999,2.5992,1.9498,7.8797002,3.6691999,5.4706001,5.9871998,,8.7844,6.6652002
5.1090002,3.4493999,7.6083002,,11.5728,9.0951996,10.4798,10.5617,14.5848,10.4572,6.1016002,2.5366001,13.5311,13.4587,,,12.8446,3.9623001,7.6409998,3.0552001,4.1587,12.0582,6.3403001,5.7732,0.69340003,13.221,,4.2898002,,7.2623,2.6424999,1.9742,7.9766002,3.6863,5.5661998,6.0851002,,8.8877001,6.7694998
5.2927999,3.5599999,7.6964002,,11.6684,9.2060003,10.5781,10.6849,14.7592,10.5026,6.1631999,2.5694001,13.5653,13.5402,,,12.9126,4.0657001,7.7117,3.0792,4.1992998,12.1377,6.4081998,5.8678999,0.70190001,13.2989,,4.3678002,,7.3334999,2.6735001,1.9978,8.0811996,3.7827001,5.6563001,6.1838002,,8.9615002,6.8585
5.3060002,3.595,7.7895999,,11.7808,9.3065004,10.7572,10.7777,14.8914,10.5911,6.3055,2.599,13.5912,13.6334,,,12.9728,4.1560998,7.7771001,3.1551001,4.2377,12.2274,6.4769001,5.9569001,0.70969999,13.3775,,4.4029002,,7.4761,2.7049999,2.2918999,8.1760998,3.8722999,5.6939998,6.2772002,,9.0812998,6.9593
5.4772,3.7779,7.8896999,,11.8749,9.4871998,10.8602,10.8615,,10.7143,6.4021001,2.6459,13.6335,13.7101,,,13.0236,4.1946001,7.8583999,3.1821001,4.2764001,12.3057,6.5553002,5.9885998,0.71759999,13.4766,,4.4677,,7.5556002,2.7430999,2.3038001,8.2826004,3.9661,5.77,6.3835001,,9.1905003,7.0427999
5.4974999,3.8634,7.9928002,,11.9042,9.5987997,10.9123,10.9795,,10.7859,6.4558001,2.6744001,13.6668,13.7719,,,13.0691,4.2726998,7.9308,3.2543001,4.3554001,12.3893,6.6202998,6.0605998,0.72640002,13.5484,,4.4864001,,7.6810002,2.7739999,2.3901,8.3837004,3.9870999,5.8656998,6.4309001,,9.2811003,7.1462002
5.6760998,3.9042001,8.0825996,,11.9915,9.7833996,10.9458,11.1658,,10.8627,6.5583,2.7031,13.72,13.846,,,13.1147,4.3702002,8.0293999,3.279,4.3934002,12.4594,6.6738,6.098,0.73610002,13.6177,,4.5591002,,7.7574,2.8027999,2.4022999,8.4713001,4.0753002,5.8973999,6.4780998,,9.3788004,7.2502999
5.6924,3.9890001,8.1918001,,12.0248,9.8858995,11.025,11.2632,,10.9333,6.6089001,2.7483001,13.7594,13.9131,,,13.2007,4.4678001,8.1132002,3.3497,4.4487,12.5147,6.7409,6.1683998,0.74510002,13.6797,,4.6704001,,7.8541999,2.8446,2.4986999,8.5888004,4.0925999,5.9835,6.5655999,,9.4913998,7.3453999
5.7101002,4.1030002,8.2531996,,12.0579,9.9720001,11.1535,11.3605,,11.0041,6.6847,2.7781,13.8299,14.0064,,,13.2745,4.506,8.1833,3.3766999,4.4816999,12.5783,6.8038998,6.25,0.75349998,13.7828,,4.7858,,7.9081001,2.8766,2.5474,8.6957998,4.1711998,6.0634999,6.6750002,,9.5684996,7.4449
5.8687,4.1676002,8.2947998,,12.1003,10.0607,11.2817,11.4643,,11.0966,6.7740002,2.8092999,13.8794,14.0993,,,13.3161,4.5723,8.2607002,3.4052999,4.5534,12.6489,6.8601999,6.2860999,0.76169997,13.8845,,4.8779998,,7.9787998,2.9091001,2.5631001,8.7888002,4.1869998,6.0973001,6.7800002,,9.6854,7.5507002
5.8957,4.2838001,8.3896999,,12.1342,10.1886,11.3868,11.5767,,11.1703,6.8590999,2.8508,13.9047,14.1541,,,13.377,4.6683002,8.3191004,3.4632001,4.5864,12.7087,6.9302001,6.3653998,0.76980001,13.9877,,4.9071999,,8.0719004,2.9428,2.5782001,8.8887997,4.2743001,6.1722999,6.8747001,,9.7809,7.5583
6.1732001,4.3091998,8.4764004,,12.1698,10.292,11.4862,11.7134,,11.3045,6.9085002,2.8787,13.9534,14.2068,,,13.4423,4.7596998,8.3920002,3.4865,4.6458001,12.7689,6.9970999,6.4046001,0.77789998,14.0789,,4.9948001,,8.1536999,2.9772,2.5927999,9.0847998,4.2926002,6.2455001,6.9865999,,9.8772001,7.6227002
6.1886001,4.4092999,8.5143003,,12.2115,10.3964,11.6915,11.7924,,11.3643,6.9840999,2.9042001,13.9872,14.2867,,,13.5074,4.8751001,8.4607,3.5513999,4.6887002,12.8119,7.0627999,6.4898,0.78609997,14.1851,,5.0802002,,8.2708998,3.0105,2.6059999,9.1975002,4.3985,6.2820001,7.0760002,,9.9814997,7.6525998
6.2788,4.4935999,8.5984001,,12.2523,10.4914,11.7932,11.9799,,11.4405,7.0436001,2.9375,14.0226,14.3376,,,13.5385,4.9700999,8.5080004,3.5825,4.7451,12.8708,7.1343999,6.5598998,0.79439998,14.3473,,5.1753998,,8.3617001,3.0460999,2.6933,9.4629002,4.4615002,6.3579001,7.1848998,,10.0034,7.6610999
6.3425002,4.5700002,8.7939997,,12.2863,10.5847,11.9599,12.0426,,11.5106,7.0889001,2.9523001,14.0457,14.4153,,,13.6112,5.0620999,8.6039,3.6507001,4.7914,12.9222,7.2049999,6.5970001,0.80229998,14.437,,5.2080998,,8.4471998,3.0774,2.7794001,9.5716,4.4871001,6.3936,7.2742,,10.0829,7.7589002
6.3688998,4.5988998,9.0804005,,12.3228,10.6563,12.0958,12.1068,,11.5933,7.1633,2.9863999,14.0795,14.4744,,,13.6685,5.1057,8.6781998,3.6782999,4.8596001,12.9747,7.2739,6.6708002,0.81050003,14.5381,,5.2624998,,8.5464001,3.1129,2.7908001,9.6829004,4.5766001,6.4684,7.3713999,,10.176,7.8615999
6.4073,4.7665,9.2975998,,12.3543,10.7665,12.2223,12.2076,,11.6672,7.2047,3.0232,14.1258,14.5459,,,13.7165,5.1848001,8.7632999,3.7505,4.9033999,13.0504,7.355,6.7091999,0.81879997,14.6022,,5.2972002,,8.6531,3.1491001,2.8051,9.7847996,4.6030998,6.5015998,7.4755001,,10.2027,7.9570999
6.4720001,4.7916002,9.3933001,,12.3909,10.866,12.3138,12.3466,,11.7208,7.2609,3.0583,14.1721,14.6217,,,13.7782,5.2744999,8.8290997,3.776,4.9537001,13.1061,7.4249001,6.7751002,0.8265,14.6712,,5.3751998,,8.7508001,3.1805,2.8748,9.8971996,4.6809001,6.5690999,7.5778999,,10.2801,8.0537996
6.5627999,4.8671999,9.415,,12.4245,10.9938,12.4413,12.4507,,11.7984,7.3059001,3.0869999,14.2028,14.692,,,13.8209,5.3706002,8.9299002,3.8025999,4.9892998,13.1782,7.4959002,6.8526001,0.83459997,14.7334,,5.4541998,,8.8115997,3.2182,2.8922999,9.9919996,4.7744002,6.6599998,7.6700001,,10.2985,8.1506996
6.5813999,4.9098001,9.4875002,,12.4596,11.1016,12.5013,12.5342,,11.9132,7.3804002,3.1377001,14.252,14.7823,,,13.8628,5.4604001,9.0204,3.8540001,5.0556002,13.2404,7.5816998,6.8864002,0.84259999,14.8067,,5.4858999,,8.8757,3.2514,2.9597001,10.0933,4.7957001,6.7049999,7.7674999,,10.4641,8.2589998
6.6553001,4.9657001,9.5937004,,12.5035,11.1877,12.5709,12.6535,,11.9822,7.4700999,3.1638999,14.3152,14.8343,,,13.9173,5.506,9.0706997,3.8771999,5.1545,13.2963,7.6522002,6.9667001,0.85049999,14.8649,,5.5290999,,8.9576998,3.2839,2.9754,10.1996,4.8683,6.7793999,7.8670001,,10.5063,8.3410997
6.6960001,4.9924998,9.6745005,,12.544,11.2692,12.7579,12.7583,,12.051,7.5469999,3.1925001,14.3614,14.8804,,,13.979,5.5725002,9.1364002,3.9505,5.1911001,13.3756,7.7269001,7.0039001,0.85820001,14.9192,,5.5697999,,9.0495005,3.3262,2.9916,10.394,4.8972001,6.8558998,7.9658999,,10.5884,8.4540997
6.7634001,5.0767999,9.8978004,,12.5834,11.3055,12.8601,12.8292,,12.1124,7.6030002,3.2390001,14.3908,14.9785,,,14.028,5.6740999,9.2201996,3.9756999,5.2449999,13.4372,7.7997999,7.0760999,0.8664,14.9881,,5.6072001,,9.1436005,3.359,3.0762999,10.4821,4.9833999,6.8924999,8.0639,,10.7758,8.5438004
6.8518,5.1985002,10.1062,,12.6176,11.3976,12.9477,12.9507,,12.1892,7.6659999,3.2674999,14.416,,,,14.1142,5.7659001,9.2665997,4.0044999,5.2856998,13.5274,7.8642998,7.1535001,0.87489998,,,5.6718998,,9.1968002,3.3913,3.0927999,10.5967,5.0072999,6.9703999,8.1063004,,10.8072,8.6398001
6.8765998,5.2859001,10.2948,,12.6534,11.4874,13.0849,12.998,,12.259,7.7038002,3.2965,14.4443,,,,14.1686,5.8729,9.3516998,4.0574002,5.3400002,13.5906,7.9292998,7.1849999,0.88340002,,,5.7041998,,9.2786999,3.4328001,3.1847999,10.6918,5.0734,7.0709,8.1752005,,10.8959,8.7018003
6.9102001,5.4101,10.3767,,12.6892,11.5775,13.1702,13.1121,,12.3787,7.7753,3.3381,14.4757,,,,14.2233,5.9727001,9.4200001,4.0851998,5.3772001,13.6425,7.9928002,7.2533002,0.89349997,,,5.7764001,,9.3507004,3.4630001,3.1998999,10.8841,5.1040001,7.1494002,8.2786999,,10.9723,8.7229996
7.0044999,5.4587002,10.48,,12.7277,11.6804,13.2417,13.2025,,12.4459,7.8488998,3.3680999,14.516,,,,14.2635,6.0718999,9.4743996,4.1444001,5.4450002,13.699,8.0618,7.2902002,0.90240002,,,5.8081002,,9.4511995,3.4949,3.2665999,10.9871,5.1822,7.1876001,8.3690004,,10.9962,8.8332996
7.0555,5.4879999,10.5741,,12.7696,11.7747,13.2947,13.2771,,12.5245,7.8913999,3.4432001,14.5732,,,,14.3258,6.1700001,9.5711002,4.1754999,5.4828,13.7709,8.1253996,7.3737001,0.91119999,,,5.8836002,,9.5408001,3.5407,3.2786,11.0992,5.2041998,7.2729001,8.4836998,,11.0863,8.9187002
7.1771002,5.5844998,10.6042,,12.8058,11.8834,13.3827,13.3542,,12.6085,7.9527001,3.4684,14.6002,,,,14.368,6.2691998,9.6401997,4.2027998,5.5363998,13.84,8.2727003,7.4706001,0.92049998,,,5.9067001,,9.5869999,3.5718999,3.2922001,11.2829,5.2789001,7.3375001,8.5880003,,11.186,9.0928001
7.2617002,5.6542001,10.6939,,12.8423,11.9767,13.4329,13.4107,,12.6948,7.9891,3.4969001,14.6351,,,,14.4345,6.3559999,9.7009001,4.2551999,5.5766001,13.8889,8.3408003,7.5022998,0.92820001,,,5.9773998,,9.6645002,3.6032,3.3845999,11.3836,5.3775001,7.3772998,8.6704998,,11.2798,9.1947002
7.3017998,5.7375998,10.7714,,12.8783,12.0243,13.5079,13.4885,,12.7997,8.0434999,3.5381999,14.6603,,,,14.4718,6.4067001,9.7691002,4.2865,5.6384001,13.9458,8.4194002,7.5675998,0.93620002,,,5.9951,,9.7434998,3.6387,3.3982,11.488,5.3980999,7.4583001,8.7733002,,11.3671,9.2866001
7.3709998,5.7953,10.8072,,12.9117,12.0639,13.5744,13.5921,,12.8885,8.0907001,3.5696001,14.6952,,,,14.5122,6.4784002,9.8526001,4.3463001,5.6817002,14.0133,8.4905005,7.6052999,0.9443,,,6.0567002,,9.8606005,3.6710999,3.5690999,11.5775,5.4594002,7.5455999,8.882,,11.3802,9.3683004
7.4029999,5.8811998,10.8915,,12.9434,12.1114,13.6431,13.7142,,13.0036,8.1527996,3.5948999,14.7494,,,,14.5666,6.5612998,9.9394999,4.3748002,5.7455001,14.0634,8.5527,7.6771002,0.95190001,,,6.0901999,,9.9405003,3.7056999,3.5827,11.6795,5.4903998,7.5784001,8.9789,,11.4038,9.4618998
7.4745998,5.9077001,10.987,,12.977,12.1658,13.722,13.8683,,13.1104,8.2533998,3.6443999,14.7763,,,,14.6492,6.6041002,10.0033,4.4558001,5.7824998,14.1304,8.6204004,7.7677002,0.95950001,,,6.0904002,,10.0504,3.7458,3.598,11.7957,5.5626998,7.6606998,9.0788002,,11.4871,9.5523996
7.5539999,6.0609999,11.0733,,13.0131,12.2147,13.8255,13.9715,,13.2895,8.2981005,3.6449001,14.804,,,,14.6997,6.6872001,10.0828,4.4786,5.8407001,14.1794,8.6885004,7.7989001,0.96759999,,,6.1394,,10.0997,3.7795,3.7430999,11.8731,5.5966001,7.7765002,9.1744003,,11.5906,9.6484003
7.5833998,6.0997,11.1841,,13.069,12.2739,13.9655,14.08,,13.3974,8.3626003,3.6733,14.8562,,,,14.7672,6.7775998,10.1417,4.5051999,5.8807998,14.2335,8.7721004,7.8666,0.97610003,,,6.1819,,10.1586,3.8209,3.7549,12.004,5.6787,7.8474998,9.2765999,,11.6991,9.7568998
7.6623998,6.2772002,11.2631,,13.115,12.3286,14.0535,14.1656,,13.5563,8.4069996,3.7035,14.9029,,,,14.8383,6.8874998,10.2349,4.5549002,5.9401999,14.2861,8.8448,7.9045,0.98449999,,,6.2509999,,10.2067,3.8508999,3.7681999,12.0716,5.7038002,7.8856001,9.368,,11.7765,9.7941999
7.6689,6.3576999,11.2941,,13.1488,12.3776,14.1228,14.2551,,13.6496,8.4610996,3.7442,14.9646,,,,14.8925,6.9791999,10.2927,4.5805998,5.9844999,14.3445,8.9094,7.9661999,0.99260002,,,6.2743001,,10.2816,3.8831999,3.7816,12.118,5.7737002,7.9591999,9.4919996,,11.8796,9.8125
7.7926002,6.3929,11.3873,,13.1905,12.4266,14.2071,14.3855,,13.7861,8.5035,3.7742,,,,,14.9535,7.0685,10.3534,4.6436,6.0379,14.4037,8.9843998,8.0017996,1.0006,,,6.3645,,10.3635,3.9252999,3.7988999,12.1919,5.8755002,8.0024004,9.5677996,,11.9054,9.8473997
7.8814998,6.4716001,11.4673,,13.2323,12.4729,14.3083,14.4848,,13.9583,8.5648003,3.835,,,,,,7.165,10.4448,4.6661,6.0791998,14.4664,9.0472002,8.0688,1.0089,,,6.3948002,,10.4556,3.9561999,3.948,12.2461,5.9751,8.0682001,9.6768999,,12.0076,9.8484001
8.0088997,6.5056,11.5078,,13.2715,12.5277,14.4084,14.6186,,14.164,8.6035004,3.8666999,,,,,,7.1978002,10.5018,4.6911001,6.1485,14.5304,9.1118002,8.1508999,1.0175,,,6.4775,,10.5391,3.9886999,3.9624,12.3289,6.0056,8.1049004,9.7775002,,12.0302,9.9663
8.1541996,6.6447001,11.578,,13.3139,12.5786,14.5603,14.6919,,14.2824,8.6900997,3.8941,,,,,,7.2680001,10.5623,4.7470002,6.1820002,14.5952,9.1834002,8.1794004,1.0253,,,6.5788002,,10.5976,4.0297999,3.9744999,12.3664,6.0699,8.1766005,9.8759003,,12.0683,10.0531
8.2089996,6.6757998,11.606,,13.3448,12.635,14.6875,14.7848,,14.4211,8.7505999,3.9056001,,,,,,7.3606,10.6488,4.7767,6.2356,14.6629,9.2525997,8.2522001,1.0342,,,6.6086998,,10.6599,4.0587001,3.99,12.4311,6.0953002,8.2598,9.9751997,,12.0909,10.1327
8.2891998,6.7350001,11.6835,,13.3782,12.6886,14.7726,14.9315,,14.5157,8.7929001,3.9412,,,,,,7.4049001,10.7451,4.848,6.2761998,14.7038,9.3146,8.2922001,1.0429,,,6.6279001,,10.7407,4.0924001,4.0036998,12.5127,6.1760998,8.2938004,10.0764,,12.1228,10.2355
8.3731003,6.7690001,11.7655,,13.4153,12.7275,14.8415,,,14.6803,8.849,3.9691999,,,,,,7.4780002,10.838,4.8741002,6.3397002,14.757,9.3848,8.3601999,1.0511,,,6.6922002,,10.7897,4.1345,4.0939999,12.5973,6.29,8.3495998,10.1832,,12.16,10.3465
8.4049997,6.8074999,11.7971,,13.4521,12.7783,14.9575,,,14.8231,8.8648996,3.9956,,,,,,7.5654001,10.8963,4.8994002,6.3768001,14.8063,9.4525003,8.3965998,1.0592,,,6.7097998,,10.859,4.1647,4.1500001,12.6766,6.3659,8.3843002,10.275,,12.2067,10.4312
8.5662003,6.9064002,11.8659,,13.493,12.8192,,,,,8.9424,4.0404,,,,,,7.6550999,10.982,4.9482999,6.4046998,14.8741,9.5401001,8.4689999,1.0669,,,6.7262998,,10.9257,4.1974001,4.1668,12.7295,6.3909001,8.4603004,10.3749,,12.2364,10.5361
8.5949001,6.9696002,11.9795,,13.5326,12.8674,,,,,8.9975996,4.0714998,,,,,,7.6956,11.043,4.9731002,6.4527001,14.9262,9.5971003,8.5047998,1.0750999,,,6.7728,,10.994,4.2405,4.1877999,12.7833,6.4632001,8.4937,10.4641,,12.2722,10.6568
8.7641001,7.0297999,12.0219,,13.5773,12.919,,,,,9.0620003,4.1016002,,,,,,7.7634001,11.1031,4.9959002,6.4980998,14.9977,9.6609001,8.5768003,1.0831,,,6.8072,,11.0639,4.2725,4.2058001,12.8462,6.4815001,8.5662003,10.5738,,12.3172,10.7593
8.7964001,7.0717001,12.0654,,13.616,12.9632,,,,,9.1645002,4.1473999,,,,,,7.8073001,11.1915,5.0485001,6.5493999,,9.7221003,8.6526003,1.0908999,,,6.8418002,,11.1775,4.3095999,4.3896999,12.8877,6.5737,8.6507998,10.6673,,12.3465,10.8424
8.9105997,7.0998001,12.0941,,13.6505,13.0036,,,,,9.1981001,4.1774001,,,,,,7.8705001,11.2797,5.0738001,6.5867,,9.7789001,8.6879997,1.0985,,,6.8885002,,11.253,4.3502998,4.4018002,12.9533,6.6030998,8.6927996,10.7721,,12.3861,10.8519
8.9482002,7.1866999,12.1234,,13.6934,13.0589,,,,,9.2609997,4.2041998,,,,,,7.9579,11.3515,5.1048999,6.6501002,,9.8414001,8.7735996,1.1062,,,6.9829001,,11.3361,4.3814001,4.4526,13.0097,6.6859999,8.7705002,10.8746,,12.4177,10.8705
