20220818a,20220819a,20220819b,20220826a_1,20220826a_2,20220826b,20220826c,20220826d,20220919a,20220919b,20220919c,20220919d,20191206b,20191206c,20191206d,20191209a,20191209b,20191209c,20191209e,20191209f,20191209g_1,20191209g_2,20191209h,202191209i,20191209j,20191217b,20191217c,20191217e,20191217j,20191219b,20191219e,20191219g,20191219h,20191219i,20191219j
2.1835999,4.1220002,,3.1338999,3.2948,5.3818998,0.92720002,4.8713002,12.0669,2.2671001,2.8041,8.7919998,3.6726999,3.1689999,1.604,2.7091999,1.6918,3.4205999,1.2334,1.9288,8.4359999,4.4066,3.1946001,1.7469,3.1538999,6.4624,4.6394,4.0795999,,3.1728001,5.1023998,1.6201,2.346,1.7742,7.4748001
2.22,4.1705999,,3.1887,3.3072,5.4879999,0.93919998,4.9405999,12.1516,2.3066001,2.8773,8.9333,3.7179,3.2390001,1.6271,2.7513001,1.7147,3.4605,1.2503999,1.9547,8.5531998,4.4805002,3.2597001,1.7681,3.2026999,6.5409002,4.6957002,4.1405001,,3.2065001,5.1574998,1.6418,2.3801,1.7996,7.5502
2.25,4.2044001,,3.2418001,3.365,5.5630002,0.95090002,5.0394001,12.4011,2.3893001,2.9066,9.0440998,3.7609,3.2709999,1.6521,2.7927001,1.737,3.5116,1.2692,1.9804,8.6784,4.5479999,3.2986,1.7911,3.2471001,6.6478,4.7691002,4.2213998,,3.2356,5.2026,1.6655999,2.4282,1.8239,7.6381998
2.2730999,4.2533002,,3.2867,3.4071,5.6514001,0.96200001,5.1143999,12.4813,2.4396,2.9375,9.1358995,3.7948999,3.3271999,1.6756001,2.8518,1.7593,3.5520999,1.2873,2.0207,8.7842999,4.6068001,3.3281,1.823,3.2862,6.7231002,4.8374,4.2674999,,3.2735,5.2937999,1.6883,2.467,1.8484,7.7266002
2.3006999,4.2975998,,3.3274,3.4375,5.7224002,0.97320002,5.1708999,12.5653,2.4577999,2.9718001,9.2299995,3.9265001,3.3618,1.6961,2.8908,1.78,3.5931001,1.3041,2.0408001,8.8997002,4.6795001,3.3738,1.8514,3.322,6.7972002,4.8993001,4.3278999,,3.3176999,5.3469,1.7095,2.5049,1.8706,7.8600998
2.3318999,4.3617001,,3.3710999,3.4883001,5.8023,0.98760003,5.2505999,12.6723,2.4916,2.9993999,9.3264999,3.9667001,3.405,1.7192,2.9251001,1.8013,3.6324,1.323,2.0651,8.9934998,4.7428002,3.4491999,1.8776,3.3538001,6.8801999,4.9538002,4.3853002,,3.3712001,5.3994999,1.7316,2.5350001,1.8936,7.9741001
2.3592,4.4370999,,3.4329,3.5065999,5.8688002,0.99959999,5.3060999,12.7872,2.5190001,3.0869,9.4679003,4.0695,3.4672,1.7421,2.9770999,1.8279001,3.6798999,1.3408999,2.092,9.1297998,4.8081002,3.4949999,1.9015,3.3938999,6.9573002,5.0355,4.4443998,,3.4066999,5.5029998,1.7546,2.562,1.9177001,8.0639
2.3852999,4.4959002,,3.4726,3.5664999,5.9281998,1.0111001,5.3688002,12.8779,2.5544,3.1231999,9.5521002,4.1125998,3.5046,1.7658,3.0407,1.8551,3.7217,1.3595001,2.1184001,9.2663002,4.8818998,3.5360999,1.9272,3.4296999,7.0542998,5.0952001,4.4998002,,3.4421999,5.5584998,1.7792,2.5954001,1.9424,8.1599998
2.4244001,4.5538998,,3.5137999,3.6071999,6.0402999,1.0228,5.4744,12.9794,2.5894001,3.1621001,9.6625996,4.1504998,3.5439,1.7878,3.0875001,1.8604,3.7728,1.3777,2.148,9.3965998,4.9489002,3.5829,1.9538,3.4695001,7.1279998,5.1584001,4.5548,,3.483,5.6774998,1.8034,2.6315,1.966,8.2832003
2.4531,4.5911999,,3.5581,3.6591001,6.1143999,1.0344,5.5332999,13.0767,2.6552,3.2546999,9.7497997,4.1942,3.5826001,1.8099,3.1252999,1.8763,3.8238001,1.397,2.1751001,9.4986,5.0057998,3.6726,1.9858,3.5116999,7.1988001,5.2371998,4.6314001,,3.5302999,5.7347999,1.8250999,2.6610999,1.9927,8.3879004
2.4809,4.6504002,,3.6041999,3.7067001,6.2019,1.0468,5.5921998,13.1782,2.6733999,3.2867999,9.8788004,4.2753,3.6568999,1.8319,3.1652999,1.9014,3.8706,1.4151,2.1984,9.6386995,5.0587001,3.7186999,2.0287001,3.5566001,7.2817001,5.2933002,4.6841002,,3.5764,5.7858,1.8462,2.6919999,2.0243001,8.5137997
2.5081,4.7048001,,3.6519001,3.7556,6.2691998,1.0585001,5.6738,13.2703,2.7000999,3.3206,9.974,4.3109002,3.6982,1.8518,3.2375,1.9246,3.9144001,1.4354,2.2268,9.7311001,5.1451998,3.7511001,2.0473001,3.6015999,7.3583999,5.3554001,4.7332001,,3.6066999,5.8906999,1.8668,2.7225001,2.0464001,8.5881996
2.5446,4.7649999,,3.6801,3.8069,6.3372998,1.0706,5.743,13.3678,2.7335,3.3583,10.0644,4.3586998,3.7472,1.8741,3.2732999,1.9478,3.9621999,1.4529001,2.2486999,9.8619003,5.2069998,3.7818,2.0720999,3.6486001,7.4615002,5.434,4.7858,,3.6313,5.9491,1.8887,2.7511001,2.0720999,8.6778002
2.5711999,4.8566999,,3.7172,3.8482001,6.3975,1.0824,5.7954001,13.5187,2.7716,3.3963001,10.1498,4.4847999,3.7936001,1.8959,3.313,1.9733,3.9834001,1.4715,2.2746,9.9672003,5.2821002,3.8464999,2.095,3.6894,7.5440001,5.4872999,4.8471999,,3.6849,6.0695,1.9116,2.7816999,2.0975001,8.7615004
2.5968001,4.9266,,3.7672999,3.9065001,6.4633999,1.0931,5.8639998,13.6019,2.7925,3.4935,10.2737,4.5229001,3.8691001,1.916,3.3546,1.9945,4.0247002,1.4874001,2.2997999,10.0836,5.3546,3.8750999,2.125,3.7288001,7.6581998,5.5499001,4.9053001,,3.7334001,6.1217999,1.9355,2.8301001,2.1233001,8.8544998
2.6315999,4.9899001,,3.8355,3.9400001,6.5138001,1.1039,5.9204998,13.747,2.8615999,3.5195999,10.3559,4.5581002,3.9015999,1.9383,3.3871,2.0364001,4.0625,1.5035,2.3254001,10.2177,5.4066,3.9035001,2.152,3.7630999,7.7336998,5.6346998,4.9530001,,3.7846,6.1817999,1.9568,2.8662,2.1494,8.9342003
2.6571,5.0469999,,3.8755,4.0068998,6.5813999,1.1158,5.9850001,13.8699,2.8852999,3.5709,10.4484,4.7055001,3.9489999,1.9598,3.4395001,2.0588,4.1104999,1.5217,2.349,10.3366,5.4754,3.9377,2.1736,3.8016,7.8604002,5.6929998,5.0050998,,3.8078001,6.2806001,1.9795001,2.8970001,2.1759,9.0017004
2.6921,5.0976,,3.9203999,4.0531001,6.6647,1.1278,6.0732002,14.0284,2.9187,3.6393001,10.5509,4.7452998,3.9958,1.9842,3.4777999,2.0813,4.1543999,1.5391001,2.3743999,10.4625,5.5332999,3.9681001,2.1956,3.8933001,7.9386001,5.7515001,5.0602999,,3.8547001,6.3250999,2.0021999,2.9305,2.2024,9.0895996
2.7277,5.1529999,,3.9614,4.1068001,6.7259002,1.1396,6.1608,14.1485,2.9437001,3.6640999,10.6811,4.7828999,4.0833001,2.0232999,3.5072,2.1069,4.1988001,1.5566,2.3996999,10.5399,5.6647,4.0559001,2.2276001,3.9333,8.0553999,5.8337998,5.1209002,,3.9087999,6.3849001,2.0302,2.9679,2.2291999,9.1879997
2.7560999,5.1960001,,4.0328999,4.1522002,6.8038998,1.1501,6.2487001,14.3453,2.9647999,3.6970999,10.7592,4.8533001,4.1265998,2.0446999,3.5522001,2.1306,4.2368002,1.5743001,2.4247,10.6549,5.7410002,4.0867,2.2548001,3.9925001,8.1323996,5.8955002,5.1900001,,3.9591,6.4988999,2.0546,3.0033,2.2569001,9.2926998
2.7888999,5.2693,,4.0784001,4.2054,6.8708,1.1612999,6.3294001,14.4578,2.9835,3.7237,10.8783,4.8867998,4.1648002,2.0648,3.5927999,2.1515999,4.2814002,1.5922,2.4530001,10.7494,5.7923002,4.1287999,2.2802999,4.0253,8.2446003,5.9596,5.2501001,,4.0064998,6.5518999,2.0766001,3.0335,2.2816,9.3785
2.8459001,5.316,,4.1174002,4.2329998,6.9496002,1.1718,6.3962002,14.5875,3.0474,3.7565,10.9502,4.9249001,4.2463002,2.0868001,3.6487,2.1729,4.3295002,1.61,2.4786999,10.9259,5.8077998,4.1636,2.2978001,4.0723,8.3128996,6.0366001,5.3045998,,4.0346999,6.5984001,2.1017001,3.0676,2.3072,9.4551001
2.8736,5.3764,,4.1655002,4.289,7.0387998,1.183,6.5043998,14.6911,3.0657001,3.7860999,11.0507,4.9563999,4.2814002,2.1089001,3.6903999,2.1945,4.3751998,1.6284,2.5044,11.0665,5.9057002,4.2550998,2.3229001,4.1164999,8.3844995,6.0971999,5.3530002,,4.0892,6.7079,2.1252999,3.0973001,2.3333001,9.5347996
2.9087999,5.4661002,,4.2346001,4.3070998,7.0997,1.1944,6.5883002,14.7762,3.0836999,3.8591001,11.1291,4.9991002,4.3248,2.1322,3.7346001,2.2305,4.4267001,1.6454,2.5299001,11.2193,5.9741001,4.2972999,2.3473001,4.1535001,8.4705,6.1518002,5.3965998,,4.1364999,6.7628999,2.1510999,3.1328001,2.3582001,9.6189003
2.9301,5.5142999,,4.2811999,4.3607001,7.1773,1.2085,6.6574001,14.8668,3.1087999,3.8931999,11.2031,5.0732999,4.3659,2.1566999,3.7708001,2.2509,4.4650998,1.6617,2.5596001,11.3622,6.0387998,4.3411999,2.3673999,4.2006998,8.5522003,6.2358999,5.4531002,,4.1851001,6.8836999,2.1724999,3.1647,2.3831999,9.7157001
2.9572001,5.5588999,,4.3249998,4.4068999,7.2565999,1.2241,6.7203002,,3.1442001,3.9298,11.2908,5.1020999,4.4542999,2.1809001,3.8397999,2.2767999,4.5146999,1.6784,2.5840001,11.485,6.1076999,4.3800001,2.391,4.2434001,8.6515999,6.2915001,5.5079999,,4.2076001,6.9566998,2.1942,3.1953001,2.4144001,9.8381996
2.9837999,5.6034002,,4.3792,4.4647002,7.3374,1.2379,6.7866998,,3.1754999,3.9658999,11.3936,5.1451001,4.4885998,2.2214999,3.8747001,2.2974,4.5707002,1.6961,2.6183,11.7153,6.1616001,4.4614,2.4284999,4.2844,8.7250004,6.3484998,5.5584002,,4.2535,7.0760002,2.2267001,3.2309999,2.4386001,9.9309998
3.0204999,5.6792998,,4.4366999,4.5065999,7.3945999,1.251,6.8741999,,3.2369001,4.0366001,11.5347,5.1855998,4.5307999,2.2430999,3.9103,2.3204999,4.6258998,1.7149,2.6407001,11.8687,6.2076001,4.5030999,2.4528,4.3231001,8.7976999,6.4338002,5.6209002,,4.3053002,7.1279001,2.2488999,3.2656,2.4616001,10.0823
3.0465,5.7297001,,4.4801998,4.5503001,7.4603,1.2639,6.9556999,,3.2569001,4.0592999,11.6296,5.2515998,4.5771999,2.2646,3.9470999,2.3429,4.6721001,1.732,2.6668999,11.9669,6.2881999,4.5421,2.4709001,4.3660998,8.8830996,6.4907999,5.6760998,,4.3590002,7.1925001,2.2702,3.2920001,2.4881001,10.1692
3.079,5.7912998,,4.5271001,4.6057,7.5141001,1.2756,7.0418,,3.2911,4.0862999,11.7079,5.2916002,4.6536999,2.2862999,3.9911001,2.3684001,4.7172999,1.7496001,2.6946001,12.0939,6.3621998,4.5756998,2.4954,4.4042001,8.9673004,6.5475998,5.7233,,4.4061999,7.2996998,2.2923999,3.3274,2.5137999,10.3008
3.1120999,5.8766999,,4.566,4.6303,7.5732002,1.2881,7.0857,,3.3213,4.1220002,11.775,5.3243999,4.6873999,2.3113,4.0419002,2.3905001,4.7739,1.7667,2.7209001,12.2068,6.4068999,4.6536999,2.5153999,4.4440999,9.0649996,6.6314001,5.7740998,,4.4320998,7.3681002,2.3155999,3.3591001,2.5381,10.4921
3.1434,5.9461002,,4.6329999,4.6820998,7.6482,1.3025,7.1578999,,3.3408999,4.152,11.855,5.3573999,4.7339001,2.3334999,4.0721002,2.4314001,4.8237,1.7848001,2.7493999,12.2797,6.4832001,4.6926999,2.5413001,4.4917002,9.1356001,6.6904001,5.8367,,4.4854002,7.4755998,2.3378999,3.391,2.5653,10.6288
3.1781001,5.9864001,,4.6750998,4.7068,7.7104998,1.3169,7.244,,3.3694999,4.1873002,11.9349,5.3882999,4.7722001,2.3573999,4.1093998,2.4542999,4.8681998,1.8013,2.7758,12.3375,6.5643001,4.7346001,2.5727999,4.5612001,9.2587996,6.7486,5.8972001,,4.5352998,7.5299001,2.3615999,3.4284999,2.5899999,10.7113
3.2033999,6.0613999,,4.7311001,4.7652001,7.7807002,1.3315001,7.296,,3.3910999,4.2481999,12.0399,5.4762001,4.8554001,2.3801,4.1416001,2.4744999,4.9157,1.8182,2.7999001,12.4598,6.6069999,4.7765002,2.5936999,4.6033001,9.3297005,6.8308001,5.9464002,,4.5781002,7.5774999,2.3855,3.4626,2.6221001,10.8243
3.2430999,6.1143999,,4.7740998,4.8069,7.8727002,1.345,7.3364,,3.4468999,4.2767,12.139,5.5144,4.8895998,2.4040999,4.1787,2.4979999,4.9636998,1.8354,2.8261001,12.5809,6.6788001,4.8627,2.6315999,4.6396999,9.4789,6.8871999,5.9981999,,4.6075001,7.6996002,2.4182999,3.4955001,2.6473,10.8663
3.2688,6.1788998,,4.8372002,4.8562002,7.9257002,1.3573999,7.3913002,,3.4593999,4.3147998,12.2308,5.5475998,4.9221001,2.4287,4.2382002,2.5204,5.0268002,1.8539,2.8520999,12.6936,6.7399998,4.8975,2.6512001,4.7434001,9.5559998,6.9533,6.0612998,,4.6417999,7.7687998,2.4396999,3.5304999,2.6724,10.9851
3.3023,6.2551999,,4.8818998,4.9061999,8.0033998,1.3684,7.4860001,,3.4775,4.3427,12.3405,5.5781999,4.9751,2.4538,4.2705998,2.5444,5.0704999,1.8722,2.8787,12.8138,6.7983999,4.9369001,2.6740999,4.7895999,9.6514997,7.0318999,6.1121998,,4.6933999,7.8716998,2.4612999,3.5599999,2.6979001,11.0952
3.3355,6.3059001,,4.9243002,4.9405999,8.0718002,1.3825999,7.5572,,3.5005,4.3713999,12.3983,5.6606002,5.0502,2.4763,4.3007002,2.5676,5.0815001,1.8907,2.9058001,12.9329,6.8639002,4.9691,2.6959,4.8596001,9.7296,7.0924001,6.1645002,,4.7409,7.9243999,2.4832001,3.5885,2.7212,11.2541
3.3631999,6.3557,,4.9645,5.0475001,8.1400995,1.3947999,7.6392002,,3.5269001,4.4380999,12.4756,5.7005,5.0851998,2.4964001,4.3341999,2.5926001,5.1244998,1.9069999,2.9319999,13.0435,6.9204001,5.0535002,2.7175,4.9218998,9.8472004,7.1499,6.2329001,,4.7901001,7.9917998,2.5090001,3.6276,2.7476001,11.3713
3.3986001,6.4657998,,5.0317001,5.0858002,8.2328997,1.4073,7.6936002,,3.5518,4.4643998,12.5468,5.7526999,5.1206999,2.5211,4.3676,2.6278,5.1750002,1.924,2.9570999,13.1231,6.9856,5.0946999,2.7453001,4.9696999,9.9221001,7.2322998,6.2853999,,4.809,8.0860996,2.5339,3.6603,2.7728,11.516
3.4370999,6.5177002,,5.0702,5.1068001,8.2982998,1.4186,7.7593002,,3.5843999,4.4952002,12.6624,5.7902999,5.1617999,2.5439,4.4418001,2.6500001,5.2311001,1.9421,2.9823999,13.2546,7.0068998,5.1297998,2.7616999,5.0156999,10.0827,7.2947998,6.3355999,,4.8596001,8.1465998,2.5569999,3.6893001,2.7981999,11.6625
3.4674001,6.5728998,,5.1069002,5.1876998,8.3605003,1.431,7.8397002,,3.6054001,4.5421,12.7541,5.8821001,5.2034998,2.5669999,4.4868999,2.6722,5.2820001,1.9606,3.0177,13.3719,7.0815001,5.1724,2.7904999,5.0549002,10.1586,7.3533001,6.3952999,,4.9133,8.2653999,2.5809,3.7202001,2.8225,11.7907
3.4995999,6.6437998,,5.1511998,5.2070999,8.4617996,1.4434,7.9049001,,3.6447001,4.5833998,12.8195,5.9154,5.2651,2.5969999,4.5246,2.6952,5.3318,1.9779,3.0432999,13.498,7.1331,5.2511001,2.8302,5.0819001,10.2623,7.4351001,6.4510999,,4.9629002,8.3206997,2.6036999,3.7530999,2.8447001,11.9497
3.5269001,6.6953001,,5.1966,5.257,8.5333004,1.455,7.9660001,,3.6724999,4.6739001,12.9097,5.9551001,5.3088002,2.6261001,4.5637999,2.7189,5.3814001,1.997,3.0687001,13.6256,7.2449999,5.2824001,2.8525,5.1278,10.3339,7.4997001,6.5065999,,5.0064998,8.3873997,2.6291001,3.7834001,2.8684001,12.0296
3.5546,6.7351999,,5.2445998,5.3062,8.6049004,1.4658999,8.0454998,,3.7093,4.7151999,13.0783,5.9910998,5.3477998,2.6501999,4.5988998,2.7427001,5.4246998,2.017,3.0945001,13.7326,7.3105998,5.3115001,2.8768001,5.2203999,10.4494,7.5622001,6.5675001,,5.0369,8.4818001,2.6535001,3.8271,2.8921001,12.1202
3.5896001,6.7722998,,5.2831998,5.3323998,8.6750002,1.4793,8.0974998,,3.7327001,4.7512999,13.206,6.0728002,5.3913002,2.6738,4.6388001,2.7639,5.4689002,2.0344,3.1229,13.8764,7.3722,5.3466001,2.9000001,5.2505002,10.5153,7.6362,6.6338,,5.0904002,8.5304003,2.6751001,3.8594999,2.9172001,12.2034
3.6343999,6.8298998,,5.3223,5.3969002,8.7447996,1.493,8.1590996,,3.7835,4.7817998,13.357,6.1136999,5.467,2.6935999,4.6763,2.786,5.5170999,2.0518999,3.1489,14.011,7.4074001,5.3822999,2.9287,5.2849998,10.5833,7.6924,6.6813002,,5.1384001,8.5923004,2.6989999,3.888,2.9403,12.2966
3.6640999,6.8745999,,5.3641,5.4074001,8.7952003,1.5101,8.2437,,3.8513999,4.8741999,13.5365,6.1624999,5.5016999,2.7174001,4.7083001,2.8280001,5.5641999,2.0708001,3.1756999,14.1591,7.4941001,5.4466,2.9572999,5.3199,10.6714,7.7532001,6.7298999,,5.1915002,8.6830997,2.7221,3.928,2.9662001,12.3777
3.6975,6.9236999,,5.4294,5.4738002,8.8684998,1.5232,8.2931004,,3.8798001,4.9022002,13.6108,6.2346001,5.5346999,2.7404001,4.7491999,2.8492,5.6231999,2.0892999,3.2174001,14.2964,7.5598001,5.4821,2.9821999,5.3544002,10.7442,7.8330002,6.7848001,,5.2069001,8.7370996,2.7456999,3.9549999,2.9926,12.4687
3.7227001,6.9651999,,5.4714999,5.5072999,8.9284,1.5359,8.3521004,,3.9112999,4.9271998,13.7615,6.2723999,5.5784998,2.7646999,4.7827001,2.8710001,5.6738,2.1066999,3.2379999,14.4282,7.6062999,5.5169001,3.0262001,5.3992,10.8526,7.8845,6.8456998,,5.2395,8.7894001,2.7683001,3.9877999,3.0207,12.554
3.766,7.0405002,,5.5124002,5.5521002,8.9967003,1.5549999,8.4497004,,3.9326,4.9614,13.8525,6.3045001,5.6553001,2.7857001,4.8337998,2.8936999,5.7179999,2.1241,3.2636001,14.4677,7.6803002,5.5425,3.0479,5.4507999,10.937,7.9422002,6.8994999,,5.2883,8.8845997,2.7927999,4.0268998,3.0462,12.673
3.7962,7.0960002,,5.5528998,5.6065001,9.0750999,1.5688,8.5143995,,3.9828,4.9924002,13.9402,6.3464999,5.6989999,2.8206999,4.8681998,2.9177999,5.7644,2.1426001,3.2888999,14.5675,7.7491999,5.5781999,3.0692,5.4926,11.0555,7.9970002,6.9452,,5.3435998,8.9405003,2.8259001,4.0551,3.0715001,12.7898
3.8362999,7.1602998,,5.5881,5.6493001,9.1443996,1.5817,8.5974998,,3.9972,5.0464001,14.0273,6.3903999,5.7378998,2.8422999,4.9025998,2.9351001,5.8211002,2.1610999,3.3125999,14.6946,7.8590002,5.6410999,3.1017001,5.5846,11.1316,8.0522003,7.0050998,,5.395,9.1061001,2.8473001,4.0864,3.0954001,12.9073
3.8650999,7.2364998,,5.6410999,5.7055998,9.2585001,1.5942,8.6814003,,4.0440998,5.0749002,14.1549,6.4559002,5.7778001,2.8638,4.9418998,2.941,5.8641,2.178,3.3408999,14.8238,7.9361,5.6746998,3.1224999,5.6259999,11.2511,8.1121998,7.0634999,,5.4085002,9.1659002,2.8699,4.1185002,3.1189001,13.0013
3.8840001,7.3259001,,5.6833,5.7389998,9.3275995,1.6068,8.7599001,,4.0608001,5.1264,14.2184,6.5019999,5.8501,2.8933001,4.9747,2.9645,5.9085999,2.1967001,3.3689001,14.9733,8.0426998,5.7033,3.1433001,5.6834002,11.3221,8.1689997,7.1257,,5.4608002,9.2666998,2.8931999,4.1455002,3.1442001,13.1095
3.9066,7.3775001,,5.7255001,5.8039999,9.4305,1.6198,8.8509998,,4.0847001,5.1578002,14.3258,6.5412002,5.8926001,2.9149001,5.0446,2.9895,5.9647999,2.2153001,3.3931,,8.1178999,5.7382998,3.1642001,5.7213001,11.3975,8.2395,7.1848998,,5.5198998,9.3246002,2.9161,4.1792998,3.1691999,13.2346
3.9366,7.4650002,,5.7746,5.8354001,9.5107002,1.6316,8.9177999,,4.1089001,5.1919999,14.4521,6.5837998,5.9548001,2.9359,5.0724001,3.0309,6.0236001,2.234,3.4205999,,8.1838999,5.7827001,3.1829,5.7561998,11.4821,8.3008003,7.2403998,,5.5695,9.3808002,2.9381001,4.2226,3.1949999,13.3468
3.9698,7.5261998,,5.8362999,5.8874998,9.5671997,1.6437,8.9837999,,4.1255002,5.2533002,14.543,6.6433001,5.9931002,2.9595001,5.0977001,3.0546,6.0648999,2.2507999,3.4472001,,8.2077999,5.8523002,3.2265999,5.7940001,11.56,8.3589001,7.3007002,,5.6069999,9.4963999,2.9614999,4.2490001,3.2221,13.4528
4.0019999,7.5840998,,5.8751998,5.9074001,9.6574001,1.6553,9.0773001,,4.164,5.2855,14.6328,6.6735001,6.0630002,2.9819,5.1241999,3.0767,6.1048002,2.2671001,3.4741001,,8.2953997,5.8818002,3.2484,5.8804998,11.6596,8.4369001,7.3566999,,5.6490002,9.5499001,2.9837999,4.2736001,3.2442,13.5674
4.0476999,7.6518002,,5.9130001,5.9604001,9.7369003,1.6674,9.1427002,,4.1982002,5.3136001,14.7542,6.7157001,6.0970998,3.0035999,5.158,3.0999,6.1532001,2.2837,3.5014,,8.3726997,5.9126,3.2736001,5.9159002,11.7355,8.4942999,7.4284,,5.7006001,9.6653996,3.0191,4.3041,3.2692001,13.639
4.0757999,7.6921,,5.9533,6.0032001,9.8282003,1.6799001,9.1990004,,4.2420001,5.3425999,14.8602,6.7516999,6.1317,3.0295,5.1973,3.122,6.1967001,2.3,3.5278001,,8.4077997,5.9418998,3.2943001,5.9583001,11.8572,8.5501003,7.4881001,,5.7480998,9.7159004,3.0401001,4.3385,3.2964001,13.7318
4.1025,7.7470002,,5.9924998,6.0334001,9.9123001,1.6918,9.2786999,,4.2642999,5.3825998,14.9368,6.7844,6.1673002,3.0492001,5.2448001,3.1473,6.2406001,2.3173001,3.5532999,,8.4792004,5.9716001,3.3223,6.0148001,11.9398,8.6350002,7.5455999,,5.7997999,9.7816,3.0711,4.3716002,3.3213,13.8315
4.131,7.7814999,,6.0395999,6.0935998,9.9797001,1.7036,9.3543997,,4.3014002,5.4506998,,6.8450999,6.2483001,3.0725999,5.2837,3.1712999,6.2939,2.3357,3.5776999,,8.5432997,6.0447001,3.3420999,6.0563002,12.0141,8.6941996,7.5945001,,5.8204999,9.8830004,3.0929999,4.4042001,3.3499,13.9053
4.1591001,7.8473001,,6.0781002,6.1079998,10.0517,1.7155,9.3950996,,4.3263001,5.4829001,,6.8780999,6.2856998,3.0941,5.3172002,3.1961999,6.3329,2.3526001,3.6171,,8.6066999,6.0777998,3.3635001,6.0914998,12.0897,8.7542,7.6472998,,5.8702998,9.9785995,3.1162,4.4338002,3.3749001,13.9995
4.1876001,7.9031,,6.1146998,6.1782999,10.1162,1.7271,9.4654999,,4.3596001,5.527,,6.9127002,6.3200002,3.1154001,5.3548999,3.2289,6.3863001,2.3692999,3.6401,,8.6657,6.1058998,3.3880999,6.1373,12.17,8.8394003,7.7027001,,5.9175,10.0873,3.1382999,4.4681001,3.4207001,14.0962
4.2280998,7.9362001,,6.1504002,6.2068,10.1852,1.7381999,9.5279999,,4.3938999,5.5616999,,6.9460001,6.3621001,3.1389,5.3899002,3.2518001,6.4331002,2.3894,3.6661999,,8.7250004,6.1387,3.4258001,6.1752,12.251,8.8987999,7.7567,,5.9565001,10.1347,3.1601,4.5035,3.444,14.255
4.2557998,7.9703999,,6.1870999,6.2662001,10.2494,1.7496001,9.6431999,,4.4457002,5.6030998,,6.9773998,6.4038,3.1605999,5.4366002,3.2736001,6.4723001,2.4129,3.6928,,8.8050003,6.1753001,3.4465001,6.2145,12.3253,8.9631996,7.8225002,,6.007,10.1933,3.1852,4.533,3.4693,14.3681
4.2858,8.0419998,,6.2353001,6.3074999,10.3042,1.7628,9.7090998,,4.4706998,5.6690001,,7.0567002,6.4647002,3.1844001,5.4684,3.2981,6.5258999,2.4312,3.7175,,8.8613997,6.2487001,3.4712999,6.2577,12.3994,9.0393,7.8860002,,6.0310998,10.2755,3.2233,4.566,3.4965,14.4794
4.3164001,8.0879002,,6.2721,6.3603001,10.3964,1.7747,9.7764997,,4.5095,5.6963,,7.0959001,6.4958,3.2197001,5.5019999,3.3196001,6.5770998,2.4482,3.7449,,8.9454002,6.2786002,3.5014999,6.2975998,12.4779,9.0951996,7.9287,,6.0713,10.3351,3.2435999,4.6027999,3.5190001,14.5363
4.3466001,8.1496,,6.3115001,6.4064999,10.4784,1.7871,9.8629999,,4.5381999,5.7329001,,7.1350002,6.5380998,3.2409999,5.5416999,3.3453,6.6272998,2.4662001,3.7718,,9.0065002,6.3151002,3.5232,6.3306999,12.5581,9.1570997,7.9865999,,6.1167998,10.4593,3.2660999,4.6360002,3.5408001,14.6518
4.3878999,8.1977997,,6.3539,6.4466,10.5715,1.7993,9.9235001,,4.5784001,5.7701998,,7.1844001,6.5724001,3.2622001,5.5742002,3.3670001,6.6687002,2.4832001,3.7974999,,9.0632,6.3448,3.5567,6.3656998,12.6317,9.2354002,8.0469999,,6.1717,10.5067,3.2895,4.6683998,3.5668001,14.7564
4.4289999,8.2726002,,6.3915,6.5039001,10.6454,1.8111,9.9899998,,4.6366,5.8025999,,7.2761998,6.6427002,3.2852001,5.6370001,3.3906,6.7146001,2.4995,3.8241999,,9.1423998,6.3873,3.5827999,6.4324002,12.7105,9.2923002,8.1000004,,6.2066998,10.5725,3.3155,4.7042999,3.5906999,14.8897
4.4559999,8.3372002,,6.4365001,6.5411,10.7133,1.8216,10.0668,,4.6564002,5.8642001,,7.3081002,6.6928,3.3071001,5.6738,3.4289999,6.7676001,2.5164001,3.8471999,,9.1970997,6.4549999,3.6236999,6.4654999,12.7876,9.3497,8.1532001,,6.2305999,10.6778,3.3382001,4.7398,3.6221001,
4.4836998,8.3930998,,6.4735999,6.6065001,10.7867,1.8339,10.1248,,4.6935,5.8875999,,7.3443999,6.7254,3.3313,5.7115002,3.4514999,6.8241,2.5332,3.9008999,,9.2535,6.4942002,3.6433001,6.4998999,12.8598,9.4343996,8.2268,,6.2779002,10.7288,3.3599999,4.7726002,3.6459,
4.5121002,8.5024004,,6.5100999,6.6455998,10.8618,1.846,10.1931,,4.7293,5.9152002,,7.3831,6.7751999,3.3552001,5.7442999,3.4756999,6.8713999,2.5502999,3.9243,,9.3108997,6.5374999,3.6714001,6.5595002,12.9387,9.4902,8.2751999,,6.3347998,10.7825,3.3814001,4.8237,3.6696999,
4.5454001,8.5536003,,6.5525999,6.7068,10.9623,1.858,10.2641,,4.7484002,5.9417,,7.454,6.8540001,3.3803999,5.7765002,3.4985001,6.9217,2.5676999,3.9504001,,9.3635998,6.5759001,3.6997001,6.6465001,13.0167,9.5581999,8.3261995,,6.3848,10.8978,3.4037001,4.8522,3.6930001,
