20220818a,20220819a,20220819b,20220826a_1,20220826a_2,20220826b,20220826c,20220826d,20220919a,20220919b,20220919c,20220919d,20191206b,20191206c,20191206d,20191209a,20191209b,20191209c,20191209e,20191209f,20191209g_1,20191209g_2,20191209h,202191209i,20191209j,20191217b,20191217c,20191217e,20191217j,20191219b,20191219e,20191219g,20191219h,20191219i,20191219j
0.4788,0.68949997,4.6388998,0.66570002,0.76209998,1.1471,0.18619999,0.99059999,1.8502001,0.4686,0.6056,2.1104,0.68120003,0.65899998,0.35409999,0.5916,0.3721,0.77359998,0.27070001,0.42480001,1.8335,0.98790002,0.68199998,0.38949999,0.74779999,1.2165999,0.98320001,0.87440002,5.1921,0.72890002,0.9267,0.34760001,0.51950002,0.39719999,1.923
0.50599998,0.73559999,4.9987998,0.71689999,0.80949998,1.2194999,0.1978,1.0765001,1.9809,0.49180001,0.64050001,2.2347,0.7331,0.70649999,0.3759,0.62510002,0.39719999,0.82669997,0.2897,0.4522,1.9589,0.99379998,0.76740003,0.4127,0.79869998,1.3061,1.0455,0.92799997,5.5913,0.77219999,0.98869997,0.36899999,0.5517,0.41980001,2.0603001
0.53390002,0.79170001,5.3297,0.76889998,0.85890001,1.2893,0.2097,1.1421,2.7593,0.5223,0.67110002,2.3515,0.77770001,0.74529999,0.40130001,0.65700001,0.42050001,0.86339998,0.30700001,0.47940001,2.0841,1.0603,0.80010003,0.43889999,0.8488,1.3871,1.1089,0.98509997,6.1975002,0.81440002,1.0477999,0.39300001,0.583,0.4452,2.1447999
0.56010002,0.86320001,5.6560998,0.83149999,0.91030002,1.3629,0.22059999,1.1985,3.0857,0.5575,0.7101,2.5532,0.8222,0.78500003,0.42309999,0.69019997,0.44310001,0.91619998,0.3247,0.50489998,2.1895001,1.1242,0.84109998,0.46380001,0.89289999,1.4678,1.1761,1.0441,6.5886002,0.86229998,1.1137,0.41679999,0.61290002,0.46919999,2.2614
0.58850002,0.91159999,5.9742999,0.88739997,0.95240003,1.4484,0.23450001,1.2637,3.3201001,0.58590001,0.74599999,2.7434001,0.86769998,0.83139998,0.44530001,0.72399998,0.46759999,0.96530002,0.34150001,0.53200001,2.3001001,1.1323,0.89859998,0.486,0.93629998,1.5426,1.2564,1.1005,7.3527002,0.91399997,1.1658,0.44010001,0.64639997,0.49309999,2.3492999
0.62120003,0.9623,6.3011999,0.93150002,1.0082,1.5292,0.24789999,1.3261,3.3940001,0.61849999,0.7766,2.9489999,0.90810001,0.87029999,0.46919999,0.7665,0.49529999,1.0136,0.359,0.55980003,2.4604001,1.199,0.96030003,0.51700002,0.96780002,1.6147,1.3202,1.1559,8.1844997,0.96539998,1.2187999,0.46039999,0.67930001,0.51810002,2.4270999
0.64999998,1.0144,6.5977998,0.96880001,1.0624,1.5918,0.25999999,1.4,3.5987,0.65030003,0.81040001,3.1257,0.95789999,0.9174,0.49180001,0.80129999,0.52240002,1.0616,0.37650001,0.58279997,2.5589001,1.2607,1.0075001,0.54089999,1.0027,1.6927,1.3822,1.2162,8.5775995,1.0132999,1.2778,0.486,0.7101,0.54320002,2.5355
0.68080002,1.0731,6.9782,1.0053,1.1145,1.6725,0.2739,1.4898,3.7367001,0.69129997,0.84960002,3.2595999,1.0121,0.9648,0.51200002,0.84030002,0.54689997,1.1063,0.39610001,0.60680002,2.6579001,1.3471,1.0377001,0.57139999,1.0437,1.7708,1.4462,1.2702,8.8039999,1.057,1.3421,0.50950003,0.74360001,0.56830001,2.6113999
0.72109997,1.1319,7.3354001,1.0412,1.1627001,1.8025,0.28569999,1.5561,4.1030998,0.73290002,0.89410001,3.3706,1.0711,0.9982,0.53909999,0.87370002,0.57340002,1.1540999,0.4136,0.63139999,2.7435999,1.4017,1.0703,0.6031,1.0803,1.855,1.5092,1.3197,8.9933004,1.1019,1.4008,0.53170002,0.77890003,0.59460002,2.7098
0.74959999,1.1927,7.6915002,1.0777,1.221,1.886,0.29840001,1.6081001,4.1903,0.76059997,0.92949998,3.4668,1.1187,1.0476,0.56590003,0.91420001,0.59859997,1.2015001,0.43259999,0.65880001,2.8594999,1.4769,1.1015,0.62669998,1.1135,1.9421999,1.5695,1.3788,9.5649004,1.1513,1.456,0.55879998,0.81339997,0.61879998,2.8545001
0.7902,1.257,7.9811001,1.1155,1.2731,1.9492,0.31,1.6667,4.3639002,0.8154,0.96920002,3.5434,1.1632,1.0868,0.58770001,0.9522,0.62230003,1.2566,0.45070001,0.6864,2.9552,1.5473,1.1467,0.65380001,1.1674,2.0667,1.6353,1.4355,9.7987003,1.1982,1.5171,0.58329999,0.84649998,0.64480001,2.9809
0.81980002,1.3145,8.3415003,1.1522,1.3236001,2.0539999,0.32300001,1.7197,4.5992999,0.83160001,1.0036,3.6552,1.2092,1.138,0.61089998,0.98900002,0.64709997,1.2995,0.46950001,0.74229997,3.0690999,1.63,1.1871001,0.68150002,1.2092,2.1524,1.6947,1.4974,9.9857998,1.2498,1.584,0.60860002,0.88069999,0.67250001,3.0974
0.84429997,1.3617001,8.6344004,1.1897,1.3853,2.1324,0.33430001,1.7852,4.7255001,0.90429997,1.0444,3.7358,1.2493,1.1786,0.63450003,1.0242,0.67309999,1.3541,0.4876,0.7683,3.1670001,1.694,1.2309,0.70340002,1.2368,2.2602,1.7649,1.5534,10.203,1.2954,1.6351,0.63300002,0.91759998,0.6983,3.2046001
0.87190002,1.4066,8.9955997,1.2239,1.4220001,2.2834001,0.3452,1.8701,4.9408998,0.93919998,1.0831,3.8116,1.2924,1.2286,0.66049999,1.0623,0.70060003,1.4103,0.50489998,0.79629999,3.2779,1.772,1.2832,0.7216,1.2885,2.3406,1.8242,1.6089,10.4786,1.344,1.7003,0.65499997,0.94840002,0.72430003,3.3088
0.91180003,1.4449,9.3473997,1.2596999,1.4711,2.3613999,0.3563,1.9592,5.0763998,0.96569997,1.1231,3.9212999,1.3301001,1.2673,0.6832,1.0996,0.72460002,1.4613,0.52329999,0.82239997,3.3813,1.8321,1.3128,0.75840002,1.3153,2.4688001,1.8916,1.661,10.5844,1.3899,1.7599,0.6771,0.98409998,0.74790001,3.4224999
0.94150001,1.4995,9.6997995,1.2983,1.4863,2.4584999,0.36829999,2.0716,5.1430001,0.99370003,1.1526999,4.0955,1.3808,1.2979,0.70730001,1.142,0.74870002,1.5087,0.54100001,0.85140002,3.4960001,1.8936,1.3556,0.7748,1.359,2.5494001,1.9527,1.717,10.7801,1.4357001,1.8124,0.70020002,1.0202,0.7737,3.5093999
