20220818a,20220818c,20220819a,20220819b,20220826a_1,20220826a_2,20220826b,20220826c,20220826d,20220919a,20220919b,20220919c,20220919d,20191206a,20191206b,20191206c,20191206d,20191209a,20191209b,20191209c,20191209e,20191209f,20191209g_1,20191209g_2,20191209h,202191209i,20191209j,20191209k,20191217b,20191217c,20191217e,20191217f,20191217j,20191219b,20191219e,20191219g,20191219h,20191219i,20191219j
0.2471,0.3373,0.85470003,4.8906002,0.50449997,0.45829999,0.83819997,0.20630001,0.51139998,1.1548001,0.32390001,0.4971,4.8569999,0.60170001,0.54269999,0.75510001,0.28760001,0.57260001,0.41890001,0.5977,0.2951,0.354,1.5705,0.84200001,0.55040002,0.32170001,0.54900002,0.87480003,1.0978,0.98229998,0.64490002,1.1713001,1.1482,0.43309999,0.7597,0.25299999,0.35299999,0.278,1.8184
0.26409999,0.36129999,0.91070002,5.2825999,0.54290003,0.50239998,0.8998,0.2208,0.55680001,1.2383,0.34189999,0.54439998,5.1423001,0.64639997,0.56870002,0.79799998,0.31259999,0.6128,0.44999999,0.64469999,0.3154,0.37720001,1.6969,0.91949999,0.59289998,0.35280001,0.579,0.9497,1.1781,1.0563999,0.69859999,1.2605,1.2555,0.46309999,0.8082,0.2728,0.37970001,0.3003,1.9845001
0.2773,0.38550001,0.95529997,5.6760998,0.58399999,0.53619999,0.99089998,0.23469999,0.60579997,1.3837,0.37599999,0.5851,5.3320999,0.68409997,0.60000002,0.84549999,0.33500001,0.65539998,0.4806,0.68989998,0.338,0.40380001,1.8199,0.97659999,0.634,0.37560001,0.61610001,1.0166,1.2604001,1.1301,0.74629998,1.3523999,1.3515,0.49380001,0.8721,0.29269999,0.40669999,0.32319999,2.1656001
0.2987,0.41010001,1.0041,6.0697999,0.62059999,0.58020002,1.0522,0.2476,0.6462,1.4762,0.39300001,0.61739999,5.4816999,0.73470002,0.64289999,0.91439998,0.35710001,0.69849998,0.51160002,0.72960001,0.35789999,0.42550001,1.946,1.0372,0.66640002,0.40059999,0.66369998,1.0811,1.3372999,1.2035,0.79960001,1.4227999,1.4586,0.52710003,0.91829997,0.31040001,0.43000001,0.34509999,2.3715
0.3141,0.4359,1.0566,6.3487,0.65259999,0.62550002,1.1065,0.26100001,0.68589997,1.574,0.4147,0.66109997,5.7884998,0.78119999,0.68019998,0.96509999,0.38080001,0.74049997,0.5431,0.77530003,0.3777,0.45030001,2.1531999,1.0941,0.70410001,0.42309999,0.70300001,1.1436,1.4218,1.2786,0.84640002,1.4984,1.5546,0.55909997,0.96649998,0.32749999,0.4553,0.3687,2.5453
0.33149999,0.46349999,1.1042,6.7263999,0.68980002,0.66589999,1.1827,0.2753,0.7306,1.6548001,0.44240001,0.6929,6.1571002,0.82889998,0.71679997,1.0247999,0.40310001,0.78740001,0.5747,0.81519997,0.39719999,0.477,2.3255,1.184,0.73689997,0.45519999,0.74849999,1.1952,1.5049,1.3514,0.88929999,1.5882,1.6409,0.59320003,1.04,0.34689999,0.4835,0.39050001,2.9122
0.35080001,0.48789999,1.1691999,7.1030002,0.72399998,0.70899999,1.2446001,0.2888,0.77240002,1.7502,0.46329999,0.7353,6.3713002,0.87159997,0.7471,1.0807,0.42640001,0.82990003,0.60570002,0.85570002,0.4181,0.48730001,2.471,1.2606,0.77429998,0.4777,0.80339998,1.2510999,1.5896,1.4262,0.93970001,1.6781,1.7262,0.62330002,1.0936,0.36669999,0.50840002,0.41159999,3.096
0.37110001,0.5126,1.2424001,7.4281998,0.759,0.74370003,1.2973,0.30199999,0.81599998,1.8186001,0.49090001,0.77289999,6.6027002,0.91420001,0.78399998,1.1393,0.45019999,0.88260001,0.63410002,0.8973,0.43920001,0.50040001,2.605,1.3334,0.81989998,0.505,0.8369,1.3263,1.6709,1.5022,0.98199999,1.7605,1.8125,0.65689999,1.1409,0.38620001,0.53549999,0.43470001,3.2839999
0.38789999,0.53960001,1.3028001,7.7459002,0.7902,0.7737,1.3585,0.31639999,0.85409999,1.8987,0.5115,0.81370002,7.3838,0.9601,0.82050002,1.2068,0.47220001,0.88669997,0.66469997,0.93910003,0.46270001,0.52420002,2.7442999,1.3849,0.85579997,0.5341,0.86849999,1.395,1.7643,1.5721,1.0364,1.8506,1.8975,0.69150001,1.2072999,0.4048,0.565,0.4549,3.4287
0.40689999,0.56370002,1.3497,8.1269999,0.82660002,0.80909997,1.4383,0.33930001,0.89020002,1.9773999,0.54689997,0.86559999,7.7020001,1.0042,0.86199999,1.2697999,0.49489999,0.9296,0.69349998,0.98720002,0.4833,0.54939997,2.9175,1.4466,0.89420003,0.56889999,0.9066,1.4612,1.8477,1.6565,1.0809,1.9403,1.9927,0.72790003,1.2623,0.4237,0.58890003,0.47490001,3.5968001
