20220912a,20220912b,20220912c,20220912d,20220912e,20220912f,20221010a_1,20221010a_2,20221010c_1,20221010c_2,20221010d,20221104a,20221104b,20221104c,20221104e,20221104f,20221104g,20191216b,20191216c,20191216d,20191216e,20191216f,20191216g,20191216h,20191216i,20191216j,20191216k,20191216m,20191216n,20191218b,20191218c,20191218e,20191220b,20191220c,20191220d,20191220e,20191220f,20191220g,20191220h
0.53539997,0.47099999,0.4052,14.8972,0.44549999,0.5891,1.1208,1.3701,3.4948001,0.40059999,0.34999999,0.5025,0.77759999,1.575,12.7145,0.52090001,0.42969999,0.47760001,0.71109998,0.5309,1.0498,0.67250001,0.33199999,0.24420001,1.3247,12.1784,0.62290001,1.4193,1.0067,0.51459998,0.38499999,0.49509999,0.31720001,0.69669998,0.83039999,14.1643,0.59310001,0.83999997,0.59219998
0.58319998,0.51190001,0.43489999,,0.4542,0.62339997,1.1834,1.4385999,3.5924001,0.43009999,0.37720001,0.565,0.83459997,1.7352,12.924,0.55989999,0.46000001,0.5108,0.7687,0.5747,1.1219,0.72140002,0.3691,0.26190001,1.4248,12.5544,0.62339997,1.5424,1.0756,0.54949999,0.41190001,0.5291,0.34560001,0.76480001,0.88690001,14.4524,0.64709997,0.91720003,0.62769997
0.60879999,0.55430001,0.4641,,0.47850001,0.65920001,1.2535,1.5113,3.6565001,0.47530001,0.405,0.59259999,0.88440001,1.8459001,13.1405,0.5941,0.49239999,0.5456,0.81879997,0.61680001,1.1973,0.78140002,0.39809999,0.27939999,1.5028,12.8939,0.65609998,1.6368999,1.1499,0.58329999,0.4366,0.56550002,0.37220001,0.81989998,0.95020002,14.8032,0.72790003,0.98610002,0.6649
0.65200001,0.59259999,0.49349999,,0.50690001,0.69910002,1.3434,1.599,3.7454,0.50040001,0.4287,0.63230002,0.9443,1.9638,13.3248,0.63309997,0.5255,0.58200002,0.86750001,0.65549999,1.256,0.83950001,0.4258,0.29570001,1.5927,13.2626,0.70730001,1.7526,1.217,0.61979997,0.4598,0.61140001,0.40020001,0.87709999,1.0035,,0.75999999,1.0536,0.70319998
0.68980002,0.6257,0.528,,0.537,0.76120001,1.4242001,1.6811,3.7911,0.52280003,0.45339999,0.66149998,1.0252,3.8896999,13.4737,0.66339999,0.5582,0.61619997,0.92409998,0.6929,1.3355,0.89539999,0.45140001,0.3136,1.6806999,13.6019,0.7475,1.8539,1.2962,0.6552,0.4876,0.64960003,0.42969999,0.92909998,1.067,,0.80110002,1.1338,0.74430001
0.71310002,0.66159999,0.55199999,,0.56709999,0.80980003,1.4764,1.779,3.8893001,0.5575,0.48089999,0.7087,1.0652,5.0207,13.603,0.70190001,0.59200001,0.6534,0.97860003,0.74010003,1.4168,0.95060003,0.49090001,0.33000001,1.7721,13.907,0.80019999,1.9572001,1.3529,0.6911,0.51990002,0.69059998,0.4492,0.99070001,1.128,,0.84759998,1.1933,0.78240001
0.759,0.69209999,0.5783,,0.59930003,0.86519998,1.5961,1.891,3.9532001,0.58139998,0.5115,0.71619999,1.1324,5.1838002,13.7424,0.75059998,0.62819999,0.69120002,1.0383,0.77929997,1.4886,1.0154001,0.51190001,0.3461,1.8479,14.2025,0.85860002,2.0452001,1.4269,0.72869998,0.5589,0.73820001,0.4673,1.0565,1.1888,,0.87889999,1.2687,0.8251
0.78509998,0.69510001,0.60290003,,0.63160002,0.91680002,1.6697,2.1180999,3.9978001,0.60430002,0.53890002,0.74959999,1.1964999,6.3316998,13.8573,0.79009998,0.6613,0.7238,1.0941,0.82099998,1.5644,1.0791,0.53899997,0.3635,1.9232,14.5143,0.89319998,2.1591001,1.498,0.76639998,0.59140003,0.77749997,0.48769999,1.1052001,1.2654999,,0.91909999,1.3391,0.86549997
0.81980002,0.72189999,0.62809998,,0.66030002,0.96340001,1.7247,2.5565,4.0815001,0.63450003,0.56919998,0.79049999,1.2533,7.2775002,13.9895,0.83020002,0.69870001,0.76249999,1.1425,0.85790002,1.6423,1.1301,0.56220001,0.37990001,5.9049001,14.8041,0.96020001,2.2776999,1.5763,0.80339998,0.62330002,0.8211,0.50910002,1.1578,1.3177,,0.95359999,1.4112999,0.90750003
0.8642,0.75129998,0.65289998,,0.69069999,1.01,1.7958,2.7306001,4.1546001,0.65670002,0.5977,0.85509998,1.3288,9.7455997,14.1512,0.86989999,0.73369998,0.8017,1.1978,0.89929998,1.7227,1.1785001,0.58600003,0.3989,6.3996,,1.0095,2.3743999,1.6643,0.84149998,0.65710002,0.85769999,0.5273,1.2266001,1.3771,,0.9914,1.4796,0.94239998
0.9084,0.77310002,0.6807,,0.72670001,1.0656,1.8669,2.8462,4.2220998,0.68279999,0.62510002,0.90350002,1.3792,10.6655,14.2867,0.90700001,0.77090001,0.83749998,1.2545,0.95120001,1.7876,1.2236,0.61110002,0.414,6.6559,,1.0501,2.4928,1.7608,0.87650001,0.67989999,0.89139998,0.54470003,1.2823,1.4399,,1.0828,1.4949,0.99059999
0.93650001,0.79809999,0.7137,,0.76109999,1.1085,1.9181,3.0450001,4.2923999,0.73369998,0.65460002,0.9648,1.4263,11.792,14.4421,0.94630003,0.80320001,0.87639999,1.3088,0.99159998,1.8606,1.2745,0.63749999,0.4323,6.9956002,,1.0948,2.6043,1.8269,0.9145,0.70139998,0.92379999,0.5643,1.3327,1.503,,1.1210001,1.5504,1.0346
0.9569,0.83350003,0.73860002,,0.78899997,1.1567,2.0276,3.1975,4.3930998,0.76450002,0.68040001,1.0393,1.4884,12.0363,14.6597,0.98089999,0.83530003,0.91329998,1.3579,1.0393,1.9198999,1.3229001,0.66219997,0.44729999,7.3035998,,1.1467,2.7476001,1.8828,0.95060003,0.73629999,0.96350002,0.5862,1.3902,1.5651,,1.1769,1.6246001,1.0821
1.0001,0.86290002,0.7676,,0.81620002,1.1947,2.1354001,3.3447001,4.441,0.80879998,0.70929998,1.084,1.5326999,12.5634,14.884,1.0134,0.86510003,0.94819999,1.4118,1.082,1.9867001,1.3669,0.68599999,0.46419999,7.5391998,,1.2265,2.8873,1.9450999,0.9849,0.76550001,0.99980003,0.60320002,1.4438,1.6236,,1.2182,1.6998,1.1309
1.0217,0.89929998,0.77160001,,0.84810001,1.2434,2.1859,3.4628999,4.4874001,0.84149998,0.73509997,1.1451,1.595,12.9384,,1.0467,0.90009999,0.98390001,1.4649,1.1311001,2.0653,1.4179,0.71280003,0.4817,7.8462,,1.2767,3.0531001,2.0548999,1.0215,0.78869998,1.0423,0.62529999,1.5052,1.6754,,1.2596999,1.7719001,1.1768
1.0702,0.9454,0.80360001,,0.88080001,1.2901,2.2413001,3.54,4.5483999,0.89249998,0.7597,1.2228,1.6494,13.1923,,1.0839,0.93489999,1.0229,1.5156,1.1759,2.1399,1.469,0.73559999,0.4957,8.0570002,,1.3118,3.2056999,2.1902001,1.0563,0.81040001,1.0793,0.63940001,1.5601,1.7575999,,1.3003,1.8432,1.2191
1.1015,0.98320001,0.83149999,,0.90710002,1.3471,2.4577999,3.6214001,4.5952001,0.92009997,0.78670001,1.2622,1.7055,13.3781,,1.1208,0.96679997,1.0573,1.5628999,1.2273,2.2263,1.5233999,0.75599998,0.51179999,8.5944996,,1.3599,3.3076999,2.3978,1.0943,0.83579999,1.1134,0.66430002,1.6145,1.8298,,1.3428,1.916,1.2599
1.1356,1.0089,0.86070001,,0.94139999,1.3799,2.5351,3.7395,4.6448998,0.9594,0.81370002,1.3195,1.7410001,13.63,,1.1511,0.99519998,1.0982,1.6163,1.2772,2.2913001,1.5695,0.77819997,0.52859998,8.7524004,,1.4095,3.5064001,3.0576999,1.1315,0.86769998,1.1727,0.68540001,1.6749001,1.9035,,1.3863,1.9856,1.3043
1.1687,1.035,0.8933,,0.96939999,1.4127001,2.6393001,3.9194,4.7062001,0.98640001,0.83999997,1.3705,1.8122,13.7471,,1.1896,1.0298001,1.1283,1.6668,1.3209,2.3633001,1.6271,0.80549997,0.54589999,9.0036001,,1.4647,3.7019999,3.3041999,1.1668,0.89969999,1.2081,0.70490003,1.7277,1.9848,,1.4103,2.0673001,1.3434
1.1885,1.0608,0.92409998,,1.003,1.4634,2.7363,4.0142002,4.7599001,1.0161999,0.8628,1.4105,1.867,13.9174,,1.2264,1.0642,1.1647,1.7180001,1.3729,2.4377999,1.6815,0.82810003,0.56050003,9.5445995,,1.5022,3.8457,3.4071,1.2047,0.93190002,1.2465,0.72600001,1.7767,10.2091,,1.4579999,2.1565001,1.3871
1.2217,1.0854,0.9612,,1.0335,1.506,2.8395,4.0727,4.8084002,1.0438,0.88870001,1.4626,1.9500999,14.0596,,1.2631,1.0934,1.2003,1.7645,1.4177999,2.5121,1.7252001,0.85409999,0.57590002,9.8983002,,1.5454,3.9986999,3.6038001,1.2401,0.96160001,1.2828,0.74559999,1.831,10.6442,,1.5221,2.3341,1.4263
1.2489001,1.1116,0.99629998,,1.0642,1.5420001,2.9554999,4.2454,4.8841,1.0697,0.9174,1.5017,1.989,14.1904,,1.3043,1.127,1.2398,1.8152,1.4689,2.5848,1.781,0.8739,0.59329998,10.0696,,1.5907,4.1342001,3.7026999,1.2739,0.99000001,1.3306,0.7723,1.8827,10.8613,,1.586,2.4405999,1.464
1.2733999,1.1443,1.0225,,1.0936,1.5798,3.0495999,4.3754001,4.9548001,1.0917,0.9447,1.5405,2.1572001,14.3689,,1.3458,1.1641001,1.2849,1.8615,1.5117,2.6740999,1.8417,0.89880002,0.6067,10.244,,1.6603,4.2564001,3.8478,1.3127,1.0237,1.3757,0.7877,1.9322,11.111,,1.635,2.5444,1.5035
1.3047,1.1707,1.0486,,1.1244,1.6172,3.1087,4.4598999,5.0819998,1.1355,0.94639999,1.584,2.2571001,14.4469,,1.3829,1.1943001,1.3199,1.9105999,1.5501,2.7542,1.8899,0.92110002,0.62230003,10.3867,,1.7106,4.4439001,3.9525001,1.3480999,1.0524,1.4118,0.80870003,1.9954,11.3904,,1.7039,2.6412001,1.5472
1.3377,1.1987,1.0764,,1.1594,1.651,3.2274001,4.5265002,5.1374002,1.1586,0.95730001,1.6486,2.3908999,14.5294,,1.4162,1.2247,1.3559999,1.9564,1.5912,2.8392,1.9492,0.95289999,0.63990003,10.4615,,1.7596999,4.5657001,4.0462999,1.3867,1.0841,1.4434,0.82669997,2.3842001,11.5536,,1.7478,2.7525001,1.5881
1.3664,1.2251,1.1015,,1.1909,1.6749001,3.2925999,4.6370001,5.2045999,1.1829,0.97359997,1.6849999,2.4484,14.6269,,1.4518,1.2564,1.3940001,1.9979,1.6346,2.9035001,2.0020001,0.97600001,0.65249997,10.7997,,1.7969,4.6939998,4.1984,1.4191999,1.107,1.4807,0.84609997,2.4916999,11.6929,,1.8352,2.8880999,1.6324
1.3968,1.2548,1.1023,,1.2218,1.7083,3.3464999,4.7344999,5.244,1.1889,1.0027,1.7244999,2.5992999,14.7712,,1.493,1.2869999,1.4286,2.2548001,1.6829,2.9767001,2.1991,1.003,0.67070001,10.8889,,1.8523,4.8346,4.3038998,1.4545,1.1361001,1.5149,0.8653,2.6487999,12.0163,,1.8724,3.0053999,1.6763
1.4313999,1.2788,1.1260999,,1.2510999,1.7417001,3.4345,4.8143001,5.2817001,1.2196,1.0251,1.7651,3.4568,14.8505,,1.5278,1.3211,1.4619,2.3492999,1.7313,3.0545001,2.3475001,1.0301,0.68690002,10.9893,,1.8882999,4.9660001,4.4549999,1.4884,1.1669,1.5556999,0.8883,2.7551999,12.1142,,1.914,3.1027,1.7191
1.4545,1.3112,1.1492,,1.2816,1.7868,3.5625,4.9443002,5.3453002,1.2604001,1.0474,1.807,4.0443001,14.94,,1.5704,1.3528,1.4962,2.5534999,1.7697001,3.1426001,2.4022,1.0536,0.70389998,11.0962,,1.9342,5.0921001,4.5964999,1.5276,1.1899,1.591,0.91229999,2.8543,12.2045,,1.9696,3.2465999,1.7666
1.4802001,1.3417,1.1684999,,1.3133,1.8303,3.6066,5.0950999,5.3976002,1.2905999,1.0761,1.8453,4.2912002,,,1.6113,1.3875999,1.5315,2.7447,1.8141,3.2648001,2.6022999,1.0792,0.72109997,11.1907,,1.9639,5.1915998,4.6961999,1.5651,1.2233,1.6312,0.93449998,2.9487,12.29,,2.0016999,3.3582001,1.8096
1.5134,1.3687,1.1906,,1.3508,1.8767999,3.7212,5.2019,5.4379001,1.3223,1.1014,1.8846999,4.3976002,,,1.6522,1.4238,1.5652,2.8566999,1.8530999,3.3724,2.7035999,1.1138,0.74129999,11.247,,2.0099001,5.2879,4.7498999,1.5987999,1.2514,1.6631,0.95529997,3.0516,12.401,,8.5074997,3.5042,1.8592
1.567,1.3982,1.2163,,1.3814,1.9072,3.8153,5.2781,5.5042,1.3532,1.1285,1.9608999,4.8066001,,,1.6867,1.4534,1.5985,3.1475999,1.9051,3.4463999,3.6533999,1.1411999,0.75760001,11.3065,,2.0953,5.4285998,4.8397999,1.6337,1.2846,1.7013,0.98070002,3.1568999,12.4834,,8.8423004,3.6429,1.9035
