20220912a,20220912b,20220912c,20220912d,20220912e,20220912f,20221010a_1,20221010a_2,20221010c_1,20221010c_2,20221010d,20221104a,20221104b,20221104c,20221104e,20221104f,20221104g,20191216b,20191216c,20191216d,20191216e,20191216f,20191216g,20191216h,20191216i,20191216j,20191216k,20191216m,20191216n,20191218b,20191218c,20191218e,20191220b,20191220c,20191220d,20191220e,20191220f,20191220g,20191220h
2.8657999,2.1361001,1.818,,6.0479999,8.7931995,5.7869,7.3576002,7.1345,2.2892001,1.7086999,13.8936,8.8903999,,,3.4719999,5.0092001,3.4979999,4.6335001,9.0495005,5.4998002,5.9488001,1.7254,1.1605,13.6331,,3.7887001,7.3534999,6.9415998,2.5399001,1.8942,4.0992999,1.4893,5.9032001,14.2383,,12.0047,7.1048999,2.7214
2.927,2.1763999,1.8422,,6.2041998,8.8289003,5.8435001,7.4576001,7.2073998,2.3401999,1.7323999,13.9684,9.0908003,,,3.5039001,5.1022,3.5479,4.6866002,9.1388998,5.5974002,6.0050001,1.7581,1.1885999,13.7309,,3.7895999,7.448,7.0516,2.5840001,1.9136,4.1535001,1.5095,6.0046,14.291,,12.0421,7.2561998,2.7572
2.9902,2.2109001,1.8710001,,6.4039001,8.8884001,5.9895,7.5190001,7.2567,2.3859,1.7567,14.0251,9.2083998,,,3.5434,5.2104998,3.5977001,4.7437,9.2056999,5.6936002,6.1020999,1.7842,1.2042,13.8198,,3.8285,7.5046,7.1869001,2.6342001,1.9371001,4.1999002,1.5362999,6.1051998,14.3625,,12.0842,7.3548002,2.7902999
3.0328,2.2442999,1.896,,6.5037999,8.9448996,6.0669999,7.6139002,7.3297,2.4277999,1.7835,14.0603,9.2805004,,,3.5888,5.2930002,3.6479001,4.7939,9.2914,5.7529998,6.1947999,1.8151,1.2223001,13.9244,,3.9059999,7.5725999,7.2866001,2.6824,1.9625,4.2465,1.5571001,6.2066002,14.4356,,12.1515,7.4535999,2.8275001
3.0968001,2.2894001,1.9176,,6.7052999,8.9972,6.1413999,7.6756001,7.3829002,2.4907999,1.7952,14.1081,9.4090996,,,3.6463001,5.3455,3.6988001,4.8393002,9.3540001,5.8422999,6.2494001,1.8395,1.2428,13.9999,,3.9597001,7.6549001,7.3797998,2.7342999,1.9902,4.303,1.587,6.3038001,14.5117,,12.196,7.5563998,2.8599999
3.1424,2.3359001,1.9401,,6.8580999,9.1851997,6.21,7.9387999,7.4561,2.5256,1.8045,14.1864,9.4997997,,,3.6709001,5.4028001,3.7460001,4.8881001,9.4034996,5.9345002,6.3025999,1.868,1.2574,14.1015,,4.0029998,7.7261,7.4741998,2.7802999,2.2742,4.3846002,1.6086,6.3941998,14.5725,,12.2392,7.6876998,2.8947999
3.1898999,2.3907001,1.9657,,6.9496999,9.2886,6.3112001,7.9863,7.4942002,2.5789001,1.8091,14.2646,9.6444998,,,3.7169001,5.4703999,3.7969999,4.9333,9.4925003,6.0117998,6.4024,1.8944,1.2768,14.1967,,4.053,7.7929001,7.6016998,2.8257,2.2893,4.4394999,1.6296999,6.4562998,14.6404,,12.3035,7.7869,2.9333
3.2867999,2.4703,1.9875,,7.1525002,9.3442001,6.4102001,8.0761995,7.6073999,2.6027,1.8354,14.341,9.7432003,,,3.7402,5.5474,3.8989,4.9902,9.6485996,6.0927,6.5444999,1.9204,1.2986,14.2834,,4.0900002,7.8547001,7.7557001,2.8680999,2.3051,4.4861999,1.6573,6.5544,14.7067,,12.3533,7.9026999,2.9696
3.3313,2.6043,3.1389,,7.2993002,9.4022999,6.5039001,8.1524,7.6454,2.6440001,1.8647,14.4042,10.0865,,,3.7658,5.6402001,3.9446001,5.0402002,9.7516003,6.1803999,6.5953999,1.9424,1.3175,14.3713,,4.1452999,7.9317002,7.8937998,2.9040999,2.3794,4.5359998,1.6835001,6.6550999,14.7619,,12.4135,8.0334997,3.0028999
3.3566,2.6521001,4.8534999,,7.3903999,9.4785004,6.5874,8.1981001,7.7226,2.6839001,1.8862,14.4477,10.1812,,,3.7901001,5.7077999,3.9914,5.0816998,9.8085003,6.2466002,6.6499,1.9684,1.3355,14.5069,,4.1908998,8.0545998,7.9947,2.9449,2.3993001,4.5886002,1.7112,6.757,14.8355,,12.4566,8.1493998,3.0373001
3.395,2.7016001,5.4847999,,7.4963999,9.5529003,6.6767998,8.2810001,7.7750001,2.7045,1.9066,14.5148,10.2266,,,3.8382001,5.7835002,4.0444002,5.1469998,9.8900003,6.3038998,6.7041001,1.9960001,1.3519,14.611,,4.2118001,8.1455002,8.0993004,2.9895,2.5316999,4.6378002,1.7437,6.8488998,14.895,,12.5098,8.3437004,3.0810001
3.4288001,2.7535,5.6547999,,7.6020002,9.6169004,6.7982001,8.3357,7.8367,2.744,1.9088,14.5673,10.4059,,,3.8835001,5.9032998,4.0939002,5.1908998,9.9926996,6.3888998,6.7522998,2.6531999,1.3679,14.6923,,4.2989001,8.2054005,8.2378998,3.0355999,2.5451,4.6805,1.7797,6.9060998,14.9913,,12.5583,8.4466,3.108
3.4552,2.7962,5.8025999,,7.7069998,9.7911997,6.9461002,8.4888,7.9067998,2.7879,1.9355,14.6354,10.5278,,,3.8963001,5.9569998,4.1437001,5.2350001,10.056,6.461,6.803,2.7493,1.3851,14.7686,,4.3527002,8.2911997,8.3458004,3.0857999,2.6264,4.7343001,1.8153,7.0249,,,12.6145,8.5816002,3.1391001
3.4861,2.8652,5.9035001,,7.8038001,9.8548002,7.0453,8.5871,7.9477,2.8259001,1.9615,14.694,10.7609,,,3.9414999,5.9966002,4.1877999,5.2860999,10.1528,6.5454001,6.8571,2.849,1.4011,14.8765,,4.4060001,8.3519001,8.4397001,3.1315,2.6486001,4.7848001,1.8347,7.1378999,,,12.6381,8.6875,3.1770999
3.5574,2.9456999,6.0592999,,7.8537998,9.9647999,7.1276002,8.7178001,8.0600004,2.8578999,1.9883,14.7388,10.8547,,,3.9733,6.0562,4.2378001,5.3246002,10.2575,6.6335001,6.9043002,2.8982,1.4183,14.9703,,4.4066,8.4440002,8.5017996,3.1819,2.8071001,4.8270001,1.8592,7.1974001,,,12.6893,8.7952995,3.2079999
3.5876999,3.0833001,6.1908998,,7.9576001,10.0141,7.2704,8.7832003,8.1183996,2.8899,2.0251999,14.7742,10.9396,,,3.9928,6.1452999,4.2874999,5.3856001,10.3051,6.7080002,7.0042,2.9535999,1.4313999,,,4.4707999,8.5281,8.6034002,3.2328,2.8425,4.8948002,1.8865,7.2883,,,12.7155,8.8971996,3.2448001
3.6489,3.1275001,6.3027,,8.052,10.1212,7.3453999,8.9075003,8.1548004,2.9296,2.0471001,14.8067,10.9937,,,4.0036998,6.2447,4.3343,5.4376001,10.3516,6.7726998,7.105,3.0460999,1.4476,,,4.5054002,8.5896997,8.6834002,3.2797,2.8701,4.9354,1.9096,7.3492999,,,12.7662,9.0472002,3.2857001
3.6814001,3.1849999,6.3962002,,8.1499004,10.1811,7.4120998,9.0207996,8.2049999,2.9811001,2.0739999,14.8453,11.1333,,,4.0535998,6.2926998,4.3843002,5.4815998,10.4451,6.8526001,7.1499,3.1434,1.4621,,,4.5960002,8.6531,8.7432003,3.3275001,2.8978,4.9846001,1.9333,7.4404001,,,12.7961,9.1592999,3.3201001
3.7349999,3.2435,6.4892998,,8.3044996,10.264,7.4847999,9.1334,8.2840004,2.9997001,2.0966001,14.8876,11.2328,,,4.0706,6.3547001,4.4316001,5.5191998,10.5045,6.9151001,7.2543998,3.188,1.4780999,,,4.6346002,8.7095003,8.9101,3.3757,2.9865999,5.0313001,1.9714,7.5328002,,,12.8488,9.2904997,3.3559999
3.7427001,3.2974,6.6392999,,8.3529997,10.363,7.5721002,9.1710997,8.3577003,3.0481999,2.1236999,14.966,11.3561,,,4.0955,6.3955998,4.4562001,5.5798001,10.5828,6.9935002,7.3957,3.2483001,1.4937,,,4.6612,8.7818003,8.9896002,3.4230001,3.0755,5.0949998,1.9956,7.6984,,,12.8843,9.3837004,3.3961
3.8055999,3.3418,6.7407999,,8.4491997,10.4539,7.6353998,9.2052002,8.3985004,3.0687001,2.142,,11.4826,,,4.1046,6.4366002,4.4995999,5.6329999,10.6528,7.0653,7.4433999,3.2974999,1.5122,,,4.7101998,8.8669996,9.0558004,3.4568,3.0955999,5.1331,2.8489001,7.7540998,,,12.9246,9.4987001,3.4347999
3.8526001,3.4099,6.8516002,,8.5438004,10.5656,7.7294998,9.3337002,8.4329996,3.0987999,2.1700001,,11.609,,,4.1452999,6.4947,4.5367999,5.6745,10.6996,7.1357999,7.4956002,3.3480999,1.5278,,,4.7565999,8.9337997,9.1403999,3.5025001,3.2335999,5.1756001,3.1524,7.8354998,,,12.9513,9.6021996,3.4681001
3.8919001,3.4607999,6.9466,,8.7070999,10.6106,7.8337998,9.4085999,8.4979,3.1256001,2.1968,,11.7316,,,4.1826,6.5397,4.5889001,5.7287998,10.7919,7.2151999,7.5464001,3.3922,1.546,,,4.8498998,9.0063,9.2038002,3.5997,3.3359001,5.2037001,3.3020999,7.9315,,,13.0061,9.7076998,3.4965
3.9433999,3.5079,7.0095,,8.8402004,10.6823,7.9112,9.4865999,8.5460997,3.1738,2.2244999,,11.9432,,,4.2055998,6.6094999,4.6368999,5.7767,10.844,7.2930999,7.5938001,3.4393001,1.5671999,,,4.8933001,9.0778999,9.2911997,3.6456001,3.3805001,5.2431002,3.3921001,7.9981999,,,13.0335,9.9133997,3.5352001
3.9955001,3.5576999,7.105,,9.0395002,10.7527,7.9966998,9.6863003,8.6066999,3.1910999,2.2471001,,12.0444,,,4.2364001,6.6549001,4.6785002,5.8274002,10.9017,7.3794999,7.6939001,3.4920001,1.5838,,,4.9408002,9.1430998,9.3915997,3.6889999,3.4019001,5.2877002,3.5025001,8.0818996,,,13.0779,10.0081,3.5650001
4.0334001,3.6029,7.1542001,,9.1338997,10.8162,8.0628996,9.7737999,8.6311998,3.2313001,2.2755001,,12.1292,,,4.2737999,6.6926999,4.7460999,5.8875999,10.9846,7.4541998,7.743,3.5406001,1.6007,,,4.9924998,9.2087002,9.4559002,3.7323999,3.4865,5.3354998,3.5574999,8.1527004,,,13.1485,10.1085,3.6018
4.0699,3.6552999,7.2961998,,9.3485003,10.8675,8.1476002,9.9259996,8.6838999,3.2544,2.2999001,,12.2333,,,4.2867999,6.7484002,4.7891998,5.9257002,11.0429,7.5293999,7.7901001,3.5908,1.6186,,,5.039,9.2753,9.5534,3.7755001,3.5294001,5.3824,3.7026999,8.2081003,,,13.174,10.2068,3.6417
4.1252999,3.7599001,7.3456001,,9.3948002,10.9353,8.2145004,9.9830999,8.8085003,3.277,2.3285999,,12.3007,,,4.3312001,6.8016,4.8337998,5.9784002,11.1386,7.6052999,7.8421998,3.6386001,1.6352,,,5.0580001,9.4048004,9.6379995,3.8239999,3.6022999,5.4407001,3.7544,8.2823,,,13.218,10.3103,3.6742001
4.1564002,3.8989999,7.3994002,,9.4493999,11.0043,8.2931995,10.0643,8.8555002,3.2950001,2.3496001,,12.3763,,,4.3421998,6.8526001,4.8867002,6.0065999,11.1948,7.6852002,7.8899999,3.6895001,1.6502,,,5.1107998,9.4619999,9.7098999,3.8585,3.6412001,5.4916,3.7755001,8.3437996,,,13.247,10.4353,3.7056999
4.2361999,3.9976001,7.5739999,,9.5331001,11.0729,8.3620005,10.1346,8.9131002,3.3216,2.3773,,12.4079,,,4.3825998,6.9096999,4.9045,6.0439,11.2436,7.7648001,7.9433999,3.7386999,1.6698,,,5.1806002,9.5276003,9.7929001,3.9015999,3.6772001,5.5247998,3.7893,8.4043999,,,13.2976,10.5145,3.7420001
4.2774,4.0991001,7.5918999,,9.6410999,11.1198,8.4464998,10.2244,8.9841995,3.3566999,2.3980999,,12.5016,,,4.4289999,6.954,4.9467001,6.0879998,11.3063,7.8358002,7.9949999,3.7913001,1.6878,,,5.2108998,9.5830002,9.9039001,3.9463,3.6997001,5.5977001,3.8422,8.4830999,,,13.3274,10.6384,3.7765999
4.3302002,4.1469002,7.6557002,,9.7044001,11.1589,8.5157003,10.2877,9.0134001,3.3798001,2.4181001,,12.5848,,,4.4524999,7.0580001,4.9857001,6.1402998,11.3585,7.9099002,8.0386,3.8431001,1.7051001,,,5.2551999,9.6385002,9.9883003,3.9956,3.7465,5.6444001,3.9567001,8.5438995,,,13.379,10.7929,3.8067999
4.3850999,4.2318001,7.7431998,,9.7538996,11.2449,8.6086998,10.377,9.0838003,3.3993001,2.4335999,,12.6241,,,4.4770002,7.1606002,5.0275002,6.1788998,11.4385,7.9777999,8.0951004,3.8943,1.722,,,5.3081999,9.6983004,10.0872,4.0425,3.8281,5.6847,4.0068002,8.5981998,,,13.4088,10.8894,3.8417001
4.4877,4.2866998,7.8044,,9.8039999,11.3147,8.7109003,10.4586,9.1416998,3.4224,2.4528999,,12.7105,,,4.5029001,7.2333999,5.0516,6.2318001,11.5068,8.0482998,8.1426001,3.937,1.7371,,,5.3555999,9.7564001,10.1577,4.0913,3.8474,5.7272,4.1494002,8.6911001,,,13.4405,11.004,3.8789999
4.5384998,4.3569002,7.8551002,,9.8952999,11.3911,8.7796001,10.5344,9.1759996,3.4396999,2.4800999,,12.7773,,,4.5180001,7.3016,5.0908999,6.2758999,11.5487,8.1239004,8.1914997,3.9895,1.7553,,,5.3936,9.8174,10.309,4.1373,3.9243,5.7694998,4.2486,8.7896004,,,13.4988,11.1064,3.9191999
4.6114998,4.4250998,7.9057999,,9.9590998,11.4359,8.8848,10.5848,9.2384996,3.4477999,2.5023999,,12.8082,,,4.5440998,7.3558998,5.1341,6.3189998,11.6072,8.2061005,8.2322998,4.0356002,1.7726001,,,5.4566998,9.8943005,10.3607,4.1805,3.9454,5.7993002,4.3498998,8.8908005,,,13.5974,11.2372,3.9491
4.6539001,4.4910998,7.9572001,,10.0554,11.4797,8.9579,10.6833,9.2784996,3.4914,2.5257001,,12.8931,,,4.5773001,7.4095001,5.1560001,6.3962998,11.7548,8.2754002,8.2895002,4.0925002,1.7889,,,5.5384998,9.9786997,10.4526,4.2207999,3.9928999,5.8463001,4.4481001,9.0340996,,,13.6342,11.3595,3.9865999
4.6959,4.5553002,8.0333996,,10.1368,11.5329,9.0845003,10.7404,9.3340998,3.5118001,2.5483,,12.9836,,,4.5998998,7.4566998,5.1908002,6.4389,11.8571,8.3392,8.3336,4.1367002,1.8036,,,5.5650001,10.0418,10.5396,4.2645001,4.0325999,5.8937998,4.552,9.0897999,,,13.6747,11.4519,4.0138001
4.7286,4.6292,8.1386995,,10.2086,11.5991,9.1543999,10.8372,9.3832998,3.5474999,2.5757999,,13.0502,,,4.6318998,7.5047998,5.2312999,6.4759002,11.9259,8.4167995,8.3528996,4.1550002,1.8193001,,,5.6097999,10.1091,10.6018,4.3051,4.0537,5.9322,4.6079998,9.1408997,,,13.7453,11.5648,4.0483999
4.7918,4.7084999,8.2090998,,10.2598,11.6991,9.3246002,10.9184,9.4324999,3.5685999,2.5997,,13.1308,,,4.6437001,7.5560002,5.2532001,6.5272002,11.9922,8.4994001,8.4017,4.2024002,1.8343,,,5.6564002,10.1793,10.688,4.3474002,4.1436,5.9933,4.7020998,9.2035999,,,13.7799,11.6823,4.0900998
4.8463001,4.7765002,8.2591,,10.3494,11.7658,9.3814001,10.9869,9.4748001,3.5977001,2.6296,,13.2085,,,4.6889,7.6104999,5.2933998,6.5565,12.0318,8.5808001,8.4397001,4.2393999,1.8529,,,5.6915002,10.2573,10.7426,4.3972998,4.1868,6.0401001,4.7891002,9.2846003,,,13.8029,11.7908,4.1272001
4.8853998,4.8393002,8.2981005,,10.439,11.8328,9.4678001,11.1654,9.5298004,3.6189001,2.6489999,,13.2617,,,4.6982999,7.6763,5.3368001,6.5872998,12.0714,8.6557999,8.4955997,4.2904,1.869,,,5.6922998,10.3447,10.8067,4.4484,4.2371998,6.0851998,4.9046001,9.3465004,,,13.8609,11.8983,4.1547999
4.9285998,4.9222999,8.3546,,10.5016,11.8972,9.5202999,11.3158,9.6335001,3.6449001,2.6615,,13.2872,,,4.7544999,7.7420001,5.3565001,6.6339002,12.1054,8.7299995,8.54,4.3379002,1.8841,,,5.7202001,10.3987,10.8623,4.4920001,4.2926002,6.1304002,5.0016999,9.4216995,,,13.9078,12.0091,4.1964002
4.9485998,5.0187001,8.4018002,,10.5636,11.98,9.5783997,11.4256,9.6695004,3.6677999,2.6849999,,13.3449,,,4.7888999,7.7893,5.3916001,6.6787,12.1392,8.8142004,8.5871,4.3534999,1.8994,,,5.7238002,10.4469,10.9584,4.5381999,4.3421001,6.1539001,5.0777998,9.4864998,,,13.9334,12.0913,4.2399998
4.9731002,5.1016002,8.4895,,10.6068,12.02,9.7060003,11.5215,9.7228003,3.7031,2.7077999,,13.4071,,,4.8027,7.8597999,5.4373002,6.7276001,12.1704,8.8860998,8.6042004,4.3966999,1.9135,,,5.8079,10.5629,11.0301,4.5879002,4.3884001,6.1873002,5.0977001,9.5552998,,,13.9748,12.1697,4.2799001
5.0085001,5.2049999,8.5474005,,10.7018,12.0812,9.7444,11.5962,9.7937002,3.7097001,2.7305,,13.456,,,4.8320999,7.9015999,5.4777999,6.7726998,12.2171,8.9618998,8.6468,4.4443998,1.9265,,,5.9022002,10.6209,11.1308,4.6367998,4.4317999,6.2342,5.1086998,9.6189003,,,14.0205,12.2523,4.3126998
5.0949001,5.2932,8.6061001,,10.7839,12.1256,9.8177996,11.6564,9.8353004,3.7284999,2.7516,,13.5205,,,4.8413,7.9615998,5.5021,6.8081002,12.2572,9.0242996,8.6966,4.4879999,1.9423,,,5.9826002,10.6948,11.266,4.6798,4.4846001,6.2820001,5.1522999,9.6917,,,14.0615,12.3096,4.3916998
5.1757002,5.4219999,8.6808996,,10.8312,12.1653,9.8648005,11.7648,9.8724003,3.747,2.7795999,,13.6009,,,4.8547001,8.0573997,5.5414,6.8462,12.3014,9.0951996,8.7440996,4.5022998,1.9593,,,6.0344,10.7634,11.323,4.7206998,4.5063,6.3278999,5.2923002,9.8430004,,,14.0946,12.4011,4.434
5.2392998,5.4530001,8.7391005,,10.8883,12.2387,9.9245996,11.8582,9.9106998,3.7730999,2.7981999,,13.6518,,,4.8913002,8.1034002,5.5867,6.8896999,12.3419,9.1639996,8.7819996,4.5496001,1.9780999,,,6.1072998,10.8454,11.4115,4.7607002,4.5904999,6.3712001,5.3485999,9.9027004,,,14.1144,12.4931,4.4805002
5.2810001,5.5100999,8.7964001,,10.9379,12.2834,9.9766998,11.9073,9.9969997,3.7895,2.8204999,,13.7122,,,4.9070001,8.1949997,5.6271,6.9222999,12.3775,9.2490997,8.8326998,4.5938001,1.9923,,,6.1416001,10.9065,11.4803,4.8067999,4.6557999,6.4380999,5.4407001,9.9612999,,,14.1472,12.5714,4.5071001
5.3776002,5.5997,8.8246002,,10.9979,12.3344,10.0846,11.9709,10.0628,3.8083999,2.8406999,,13.7768,,,4.9281998,8.2586002,5.6496,6.973,12.4183,9.3102999,8.8556004,4.6445999,2.01,,,6.1795998,10.9623,11.5562,4.8992,4.6925998,6.4733,5.5036001,10.2029,,,14.1884,12.6429,4.5451002
5.428,5.6626,8.8801003,,11.0368,12.3807,10.1711,12.0785,10.1607,3.8338001,2.8548999,,13.8396,,,4.9431,8.3171997,5.6893001,7.0072999,12.4478,9.3952999,8.9062996,4.6936002,2.03,,,6.2796001,11.0158,11.6332,4.9433999,4.7403002,6.5025001,5.5946002,10.2582,,,14.2163,12.7297,4.5847001
5.4559002,5.7323999,8.9349003,,11.0928,12.435,10.2315,12.1727,10.1923,3.8768001,2.8770001,,13.9126,,,4.9836001,8.3778,5.7283001,7.0430002,12.4786,9.4602003,8.9449997,4.7384,2.0488,,,6.3580999,11.084,11.6988,4.9926,4.7934999,6.5451002,5.6866002,10.3226,,,14.2437,12.7981,4.6255002
5.5035,5.7852001,8.9967003,,11.1458,12.5003,10.3073,12.2384,10.2233,3.8996,2.9275999,,13.9646,,,5.0184999,8.4363003,5.7865,7.0820999,12.5146,9.5421,8.9827995,4.7940001,2.0701001,,,6.4046998,11.1553,11.8037,5.0384998,4.8477998,6.5825,5.7726002,10.3928,,,14.2863,12.8729,4.6532998
5.5489998,5.8344998,9.0421,,11.2342,12.5813,10.3935,12.3271,10.2569,3.9236,2.9474001,,14.0205,,,5.0331001,8.4882002,5.8262,7.1201,12.554,9.6113997,9.0023003,4.8367,2.0880001,,,6.4478998,11.2086,11.8713,5.0804,4.8821998,6.6440001,5.8469,10.4561,,,14.3251,12.9451,4.6870999
5.6122999,5.9275999,9.0906,,11.288,12.634,10.4442,12.4424,10.294,3.9498999,2.9654,,14.0819,,,5.0739002,8.5556002,5.8491998,7.1574001,12.5857,9.6800003,9.0411997,4.8534002,2.1071999,,,6.5096002,11.2774,11.9632,5.1241999,4.9064002,6.6759,5.9415998,10.5256,,,14.3502,13.0142,4.7247
5.6694002,5.9719,9.1466999,,11.343,12.6887,10.5527,12.5755,10.3359,3.9869001,2.9867001,,14.1445,,,5.092,8.6191998,5.8782001,7.1936998,12.6232,9.7456999,9.0830002,4.8973999,2.1314001,,,6.5548,11.3354,12.0195,5.164,4.9379001,6.7020001,6.1034002,10.5998,,,14.3913,13.089,4.7526002
5.7073998,6.0043001,9.2049999,,11.3996,12.7287,10.6373,12.6811,10.4132,4.0218,3.0091,,14.1922,,,5.1033001,8.6884003,5.9043002,7.2350001,12.6591,9.8220997,9.1041002,4.9377999,2.1470001,,,6.6279998,11.3984,12.0798,5.2083998,4.9910002,6.7491002,6.1457,10.6585,,,14.4208,13.173,4.7837
5.7617998,6.0658002,9.3077002,,11.4579,12.806,10.7358,12.7767,10.4597,4.0391998,3.0336001,,14.2435,,,5.1367998,8.7568998,5.9435,7.2803001,12.6933,9.9258003,9.1555004,4.9868999,2.1715,,,6.6620998,11.472,12.1443,5.2521,5.0348001,6.7754002,6.2048998,10.737,,,14.4502,13.2385,4.823
5.8028002,6.1422,9.3882999,,11.5033,12.8416,10.8312,12.8677,10.4964,4.0615001,3.0590999,,14.2927,,,5.1521001,8.8052998,5.9787002,7.329,12.7375,9.9939003,9.1932001,5.0499001,2.1875999,,,6.7154999,11.5467,12.1931,5.2985001,5.0840001,6.8225999,6.2547002,10.8025,,,14.4787,13.3048,4.8568001
5.8922,6.2880998,9.4414997,,11.556,12.8893,10.9126,12.938,10.5378,4.0799999,3.0757999,,14.3639,,,5.1774998,8.9029999,6.0072999,7.3723998,12.7725,10.0625,9.2368002,5.0914998,2.2021,,,6.7641001,11.6175,12.2641,5.3485999,5.1039,6.8887,6.3077002,10.8885,,,14.5083,13.3856,4.8997002
5.9920001,6.3383999,9.5038996,,11.6112,12.9608,10.9815,13.0128,10.5759,4.0991001,3.0919001,,14.4204,,,5.1904998,8.9576998,6.0355,7.4067998,12.8143,10.1432,9.2551003,5.1946001,2.2251,,,6.7859998,11.6786,12.324,5.3951001,5.1529002,6.9238,6.4366999,10.9522,,,14.5404,13.4617,4.9397001
6.0591002,6.4050002,9.5535002,,11.7154,13.0204,11.0821,13.1295,10.6164,4.1336999,3.1219001,,14.4845,,,5.2237,9.0452003,6.0731001,7.4394002,12.8573,10.2116,9.2936001,5.2409,2.2460999,,,6.8453999,11.7476,12.3854,5.4446001,5.1954999,6.9496002,6.5068002,11.0263,,,14.563,13.5364,4.9856
6.1100001,6.4456,9.5868998,,11.7595,13.0937,11.1675,13.1839,10.6545,4.1683002,3.1431,,14.5488,,,5.2484002,9.0937996,6.1027999,7.4758,12.8876,10.2943,9.3431997,5.2925,2.2701001,,,6.8469,11.7967,12.4665,5.4858999,5.2458,6.987,6.5883999,11.0924,,,14.6093,13.6068,5.0208998
6.1634998,6.4913001,9.6518002,,11.8198,13.139,11.2661,13.2454,10.7036,4.1882,3.1631999,,14.6007,,,5.2586002,9.1553001,6.1308999,7.5236001,12.9236,10.3789,9.3752003,5.3376002,2.2883,,,6.8934002,11.8756,12.5312,5.5338001,5.2814002,7.0440998,6.7024999,11.1499,,,14.6477,13.6772,5.0560002
6.2484999,6.5534,9.7846003,,11.8928,13.2022,11.352,13.3005,10.7479,4.2224002,3.1731999,,14.6474,,,5.2795,9.2565002,6.1539998,7.5528998,12.9627,10.511,9.4018002,5.3906002,2.3038001,,,6.9464002,11.9557,12.5958,5.5823998,5.3045998,7.0805998,6.7989001,11.2331,,,14.6688,13.7496,5.0942998
6.3302999,6.5978999,9.8353996,,11.9539,13.2501,11.3888,13.3717,10.8018,4.2389002,3.1881001,,14.7065,,,5.2972002,9.3341999,6.1894999,7.5942001,13.0002,10.5922,9.4396,5.4043002,2.3176,,,6.9959998,12.0276,12.6606,5.6300998,5.3558998,7.1039,6.8518,11.3031,,,14.7017,13.8294,5.1296
6.4130001,6.6904998,9.8865004,,12.001,13.3107,11.4279,13.4738,10.8387,4.2536001,3.2086,,14.7502,,,5.3239999,9.3968,6.2311001,7.6427002,13.0416,10.6561,9.4792004,5.4373999,2.3362,,,7.0264001,12.0835,12.7378,5.6659999,5.3916001,7.1462998,6.908,11.3854,,,14.7194,13.8863,5.1595001
6.4439998,6.7575998,9.9412003,,12.0506,13.3783,11.503,13.5513,10.8929,4.2729998,3.2333,,14.8,,,5.3537002,9.4559002,6.2565999,7.6820998,13.0798,10.7244,9.5065002,5.4882002,2.3532,,,7.0917001,12.1425,12.8018,5.7098999,5.4415002,7.1901999,7.0271001,11.4714,,,14.7448,13.9729,5.2017002
6.4942999,6.8555002,9.9841995,,12.1036,13.4207,11.5558,13.6309,10.9415,4.2996001,3.2725,,14.8301,,,5.3962002,9.5162001,6.2862,7.7192998,13.1196,10.8057,9.5417004,5.5039001,2.3745,,,7.1039,12.1962,12.8576,5.8028002,5.4879999,7.2416,7.1072998,11.5497,,,14.7841,14.046,5.2396998
6.5524998,6.9046001,10.0387,,12.1435,13.4562,11.6158,13.7501,10.9852,4.3239999,3.2953,,14.8989,,,5.4326,9.5830002,6.3288999,7.7718,13.1545,10.8833,9.5902004,5.5492001,2.3907001,,,7.1764002,12.2667,12.9206,5.8460999,5.5395999,7.2824001,7.1989002,11.6091,,,14.8072,14.1199,5.2799001
6.6033001,6.9874001,10.0905,,12.1907,13.5179,11.7031,13.8223,11.042,4.3704,3.3115001,,14.9543,,,5.4433999,9.6314001,6.3534002,7.8269,13.1831,10.9553,9.6287003,5.5900002,2.4073,,,7.211,12.347,12.9815,5.8908,5.5832,7.3439002,7.2532001,11.6662,,,14.8559,14.1968,5.3115001
6.6617999,7.0556002,10.1364,,12.2206,13.5671,11.7417,13.8936,11.1108,4.3892002,3.3304,,,,,5.4542999,9.6805,6.3801999,7.8615999,13.2111,11.0269,9.6447001,5.6413002,2.4338,,,7.2117,12.3957,13.0342,5.9415998,5.6036,7.3811998,7.3518,11.7268,,,14.8923,14.2778,5.3488998
6.7038999,7.1061001,10.21,,12.2538,13.6481,11.8229,14.0236,11.147,4.4077001,3.3525,,,,,5.4840999,9.7217999,6.4232998,7.8930998,13.237,11.0964,9.6912003,5.6918998,2.4704001,,,7.2804999,12.4465,13.0977,5.9857998,5.6963,7.4334998,7.4312,11.79,,,14.9195,14.3438,5.3892999
6.8558002,7.1704998,10.2519,,12.286,13.6986,11.8943,14.0783,11.1847,4.4239001,3.3613999,,,,,5.5195999,9.7691002,6.4499002,7.9429998,13.2713,11.1874,9.7079,5.7389998,2.4918001,,,7.3016,12.5204,13.1636,6.0306001,5.7346001,7.4790001,7.5423999,11.8596,,,14.9609,14.4071,5.4285002
6.9196,7.2298999,10.2963,,12.3325,13.754,11.949,14.1266,11.2402,4.4499002,3.3773999,,,,,5.5398002,9.8431997,6.4837999,7.9826002,13.3154,11.2746,9.7964001,5.7558999,2.5093,,,7.3413,12.5731,13.2252,6.0770001,5.7806001,7.5061002,7.6036,11.9157,,,14.9838,14.4894,5.4577999
